订单日期,订单编号,商品类别,品牌名称,销售渠道,所在地区,销售数量,单价(元),销售额(元),利润(元),退货数量,好评率(%),客户年龄,支付方式
2024-05-10,ORD-2024-00069,家居用品,宜家,第三方平台,西北,1,411.19,411.19,109.85,0,99.5,46,微信支付
2024-05-15,ORD-2024-00070,美妆护肤,雅诗兰黛,直播带货,华中,1,61.76,61.76,22.01,0,98.6,26,支付宝
2024-05-17,ORD-2024-00071,电子产品,苹果,移动APP,华中,11,786.55,8652.05,1631.97,0,98.5,18,支付宝
2024-05-18,ORD-2024-00072,图书文具,得力,官方网站,华北,1,70.25,70.25,14.68,0,98.1,34,信用卡
2024-05-19,ORD-2024-00073,服装鞋帽,优衣库,第三方平台,西北,2,131.77,263.54,71.9,0,99.0,26,微信支付
2024-05-21,ORD-2024-00074,家居用品,罗莱家纺,第三方平台,华东,8,784.85,6278.8,1781.95,0,99.1,40,信用卡
2024-05-22,ORD-2024-00075,食品饮料,良品铺子,官方网站,华东,1,17.51,17.51,2.09,0,98.7,34,货到付款
2024-05-26,ORD-2024-00076,图书文具,得力,移动APP,华南,7,25.11,175.77,39.49,0,94.0,29,支付宝
2024-05-28,ORD-2024-00077,家居用品,茶花,官方网站,华北,3,626.86,1880.58,431.02,0,99.3,36,支付宝
2024-05-30,ORD-2024-00078,运动户外,北面,直播带货,华南,4,2688.39,10753.56,3993.6,0,98.0,32,微信支付
2024-06-02,ORD-2024-00079,服装鞋帽,安踏,直播带货,华南,1,51.78,51.78,18.74,0,96.6,45,支付宝
2024-06-03,ORD-2024-00080,食品饮料,农夫山泉,第三方平台,华南,2,167.27,334.54,40.22,0,98.7,33,支付宝
2024-06-04,ORD-2024-00081,食品饮料,百草味,第三方平台,华南,2,123.09,246.18,43.51,0,99.0,41,货到付款
2024-06-04,ORD-2024-00082,电子产品,苹果,官方网站,华北,1,438.23,438.23,54.91,0,96.9,36,微信支付
2024-06-07,ORD-2024-00083,服装鞋帽,优衣库,直播带货,华东,1,147.33,147.33,48.01,0,99.3,28,支付宝
2024-06-07,ORD-2024-00084,母婴玩具,费雪,移动APP,东北,4,421.59,1686.36,308.71,0,98.8,41,支付宝
2024-06-08,ORD-2024-00085,美妆护肤,自然堂,移动APP,华东,1,405.15,405.15,150.29,1,80.4,18,货到付款
2024-06-10,ORD-2024-00086,美妆护肤,自然堂,直播带货,华东,1,134.27,134.27,66.77,0,97.5,18,微信支付
2024-06-11,ORD-2024-00087,电子产品,苹果,直播带货,西南,2,1348.99,2697.98,509.56,0,96.3,46,微信支付
2024-06-12,ORD-2024-00088,美妆护肤,百雀羚,官方网站,华东,1,910.73,910.73,494.25,0,97.6,25,支付宝
2024-06-13,ORD-2024-00089,美妆护肤,资生堂,移动APP,华东,10,169.75,1697.5,713.82,0,98.7,36,微信支付
2024-06-13,ORD-2024-00090,家居用品,水星家纺,移动APP,华东,5,68.33,341.65,107.16,0,98.0,34,支付宝
2024-06-15,ORD-2024-00091,食品饮料,良品铺子,第三方平台,东北,3,79.06,237.18,27.78,0,97.7,51,支付宝
2024-06-16,ORD-2024-00092,食品饮料,农夫山泉,移动APP,华东,1,128.7,128.7,11.39,0,96.9,47,微信支付
2024-06-18,ORD-2024-00093,电子产品,小米,移动APP,华东,1,377.0,377.0,83.72,0,97.1,30,银行卡
2024-06-18,ORD-2024-00094,图书文具,晨光,官方网站,华北,5,39.8,199.0,42.68,0,98.2,47,信用卡
2024-06-19,ORD-2024-00095,运动户外,始祖鸟,第三方平台,华南,2,353.4,706.8,226.33,0,98.2,27,支付宝
2024-06-21,ORD-2024-00096,电子产品,联想,移动APP,华东,1,3710.34,3710.34,799.05,0,98.2,42,支付宝
2024-06-22,ORD-2024-00097,电子产品,小米,第三方平台,华东,2,7005.57,14011.14,-743.93,0,95.1,38,微信支付
2024-06-25,ORD-2024-00098,运动户外,始祖鸟,移动APP,华北,1,111.1,111.1,43.79,0,99.5,31,信用卡
2024-06-26,ORD-2024-00099,服装鞋帽,海澜之家,移动APP,华东,1,129.22,129.22,39.29,0,99.9,27,微信支付
2024-06-27,ORD-2024-00100,母婴玩具,贝亲,移动APP,华南,4,136.5,546.0,166.11,0,97.2,48,微信支付
2024-07-02,ORD-2024-00101,电子产品,苹果,第三方平台,华东,3,1119.03,3357.09,421.36,0,97.6,31,微信支付
2024-07-04,ORD-2024-00102,家居用品,水星家纺,第三方平台,华南,2,839.54,1679.08,581.21,0,95.3,40,支付宝
2024-07-06,ORD-2024-00103,运动户外,始祖鸟,第三方平台,华东,1,288.88,288.88,-42.51,0,97.6,30,微信支付
2024-07-08,ORD-2024-00104,美妆护肤,百雀羚,直播带货,华东,1,1709.46,1709.46,516.63,0,97.8,31,支付宝
2024-07-09,ORD-2024-00105,图书文具,外研社,直播带货,西南,6,40.71,244.26,40.46,0,99.6,53,微信支付
2024-07-16,ORD-2024-00106,美妆护肤,自然堂,线下门店,华北,1,66.39,66.39,28.23,0,98.8,20,微信支付
2024-07-18,ORD-2024-00107,服装鞋帽,李宁,移动APP,华北,5,229.09,1145.45,-81.86,0,96.7,40,微信支付
2024-07-20,ORD-2024-00108,美妆护肤,雅诗兰黛,移动APP,华中,5,970.42,4852.1,2125.83,3,79.4,24,信用卡
2024-07-25,ORD-2024-00109,美妆护肤,兰蔻,官方网站,华南,1,329.48,329.48,102.7,0,95.4,33,支付宝
2024-07-26,ORD-2024-00110,图书文具,中华书局,第三方平台,东北,1,89.8,89.8,14.67,0,95.2,43,支付宝
2024-07-29,ORD-2024-00111,美妆护肤,自然堂,移动APP,华东,1,605.53,605.53,324.56,0,99.3,18,微信支付
2024-08-01,ORD-2024-00112,图书文具,晨光,移动APP,华中,1,58.7,58.7,16.29,0,98.6,38,微信支付
2024-08-03,ORD-2024-00113,服装鞋帽,安踏,官方网站,华南,3,149.54,448.62,176.15,0,99.5,18,信用卡
2024-08-05,ORD-2024-00114,电子产品,戴尔,直播带货,西南,3,6624.27,19872.81,2484.65,0,96.8,23,支付宝
2024-08-07,ORD-2024-00115,食品饮料,三只松鼠,移动APP,华中,4,58.89,235.56,46.43,3,76.8,26,信用卡
2024-08-08,ORD-2024-00116,服装鞋帽,优衣库,移动APP,华东,1,300.18,300.18,133.53,1,69.5,35,微信支付
2024-08-09,ORD-2024-00117,服装鞋帽,李宁,官方网站,东北,2,185.78,371.56,97.33,0,98.6,22,信用卡
2024-08-11,ORD-2024-00118,美妆护肤,兰蔻,第三方平台,华中,2,85.98,171.96,86.46,0,99.3,18,支付宝
2024-08-15,ORD-2024-00119,食品饮料,三只松鼠,官方网站,华中,8,54.27,434.16,-39.75,0,95.3,42,信用卡
2024-08-16,ORD-2024-00120,家居用品,洁丽雅,第三方平台,华北,5,159.79,798.95,263.28,3,77.9,45,支付宝
2024-08-19,ORD-2024-00121,母婴玩具,好孩子,线下门店,华北,1,125.97,125.97,35.39,0,98.4,50,微信支付
2024-08-20,ORD-2024-00122,美妆护肤,兰蔻,移动APP,华北,4,314.94,1259.76,-107.97,0,99.5,32,信用卡
2024-08-20,ORD-2024-00123,美妆护肤,资生堂,移动APP,华东,1,1355.94,1355.94,406.93,0,99.9,26,支付宝
2024-08-21,ORD-2024-00124,美妆护肤,自然堂,移动APP,华北,1,563.55,563.55,202.93,0,99.6,27,支付宝
2024-08-22,ORD-2024-00125,电子产品,小米,官方网站,华东,1,2839.01,2839.01,596.57,0,97.8,29,信用卡
2024-08-24,ORD-2024-00126,运动户外,北面,第三方平台,华东,2,188.34,376.68,100.31,0,98.5,41,信用卡
2024-08-28,ORD-2024-00127,美妆护肤,资生堂,第三方平台,华南,1,145.75,145.75,77.65,0,98.6,28,微信支付
2024-08-30,ORD-2024-00128,服装鞋帽,波司登,移动APP,华东,1,377.74,377.74,167.48,0,97.9,39,信用卡
2024-08-31,ORD-2024-00129,服装鞋帽,李宁,线下门店,华南,1,414.09,414.09,148.45,0,97.3,18,银行卡
2024-08-31,ORD-2024-00130,食品饮料,三只松鼠,第三方平台,华东,3,132.17,396.51,36.6,0,98.7,34,银行卡
2024-09-01,ORD-2024-00131,美妆护肤,自然堂,直播带货,华东,4,102.74,410.96,158.77,0,97.7,35,信用卡
2024-09-03,ORD-2024-00132,食品饮料,良品铺子,第三方平台,华北,1,218.33,218.33,17.89,1,73.1,37,微信支付
2024-09-03,ORD-2024-00133,家居用品,水星家纺,第三方平台,华南,1,33.36,33.36,11.42,0,99.1,42,微信支付
2024-09-03,ORD-2024-00134,服装鞋帽,李宁,第三方平台,华东,1,668.62,668.62,280.91,0,98.6,18,微信支付
2024-09-04,ORD-2024-00135,母婴玩具,帮宝适,官方网站,华南,1,393.31,393.31,89.9,0,98.2,29,微信支付
2024-09-06,ORD-2024-00136,美妆护肤,资生堂,官方网站,华北,13,165.98,2157.74,1155.08,2,71.4,40,信用卡
2024-09-08,ORD-2024-00137,食品饮料,良品铺子,第三方平台,华东,2,57.99,115.98,19.58,0,97.3,27,银行卡
2024-09-10,ORD-2024-00138,电子产品,华为,移动APP,华北,2,2187.63,4375.26,-640.98,0,97.4,37,银行卡
2024-09-14,ORD-2024-00139,母婴玩具,乐高,第三方平台,华北,1,654.92,654.92,118.63,0,96.8,29,银行卡
2024-09-15,ORD-2024-00140,家居用品,水星家纺,线下门店,华南,5,45.14,225.7,64.21,2,69.5,43,货到付款
2024-09-15,ORD-2024-00141,家居用品,水星家纺,移动APP,华北,2,313.86,627.72,124.54,1,76.9,37,支付宝
2024-09-18,ORD-2024-00142,母婴玩具,好孩子,第三方平台,华中,2,273.28,546.56,105.92,0,97.8,38,信用卡
2024-09-23,ORD-2024-00143,图书文具,中华书局,官方网站,华南,1,54.88,54.88,10.98,0,95.2,32,信用卡
2024-09-24,ORD-2024-00144,食品饮料,百草味,第三方平台,东北,1,165.29,165.29,19.02,1,82.2,32,微信支付
2024-09-25,ORD-2024-00145,服装鞋帽,波司登,移动APP,华东,1,315.33,315.33,134.44,0,99.6,18,微信支付
2024-09-28,ORD-2024-00146,家居用品,洁丽雅,官方网站,华东,6,714.17,4285.02,827.92,0,93.9,45,支付宝
2024-10-01,ORD-2024-00147,运动户外,始祖鸟,直播带货,华北,5,1855.66,9278.3,3244.35,0,99.3,34,支付宝
2024-10-05,ORD-2024-00148,电子产品,华为,官方网站,西南,2,3679.15,7358.3,1232.41,0,99.3,42,支付宝
2024-10-06,ORD-2024-00149,服装鞋帽,李宁,移动APP,华东,1,95.71,95.71,28.13,0,99.8,18,微信支付
2024-10-07,ORD-2024-00150,美妆护肤,兰蔻,移动APP,华南,2,417.65,835.3,255.21,0,98.6,18,信用卡
2024-10-10,ORD-2024-00151,美妆护肤,雅诗兰黛,第三方平台,华南,1,931.14,931.14,295.41,0,99.4,34,微信支付
2024-10-11,ORD-2024-00152,家居用品,宜家,第三方平台,西南,1,34.66,34.66,7.18,0,95.7,55,支付宝
2024-10-12,ORD-2024-00153,服装鞋帽,海澜之家,移动APP,西南,1,224.55,224.55,99.61,0,94.9,24,货到付款
2024-10-16,ORD-2024-00154,家居用品,洁丽雅,第三方平台,华东,3,276.59,829.77,241.73,0,98.7,42,支付宝
2024-10-17,ORD-2024-00155,美妆护肤,雅诗兰黛,官方网站,华北,1,845.23,845.23,376.91,0,99.5,27,微信支付
2024-10-18,ORD-2024-00156,图书文具,商务印书馆,移动APP,西南,4,75.96,303.84,80.16,0,96.8,51,支付宝
2024-10-22,ORD-2024-00157,服装鞋帽,李宁,移动APP,华北,5,555.8,2779.0,1097.34,0,98.3,19,货到付款
2024-10-24,ORD-2024-00158,食品饮料,三只松鼠,移动APP,东北,3,30.15,90.45,10.16,0,99.7,41,信用卡
2024-10-26,ORD-2024-00159,服装鞋帽,安踏,官方网站,华中,1,91.31,91.31,31.3,0,97.9,39,信用卡
2024-10-31,ORD-2024-00160,食品饮料,良品铺子,第三方平台,华中,1,96.58,96.58,8.82,0,99.8,34,支付宝
2024-11-03,ORD-2024-00162,母婴玩具,好孩子,第三方平台,华中,1,63.6,63.6,17.9,0,97.5,41,支付宝
2024-11-03,ORD-2024-00161,电子产品,戴尔,移动APP,华东,4,1996.66,7986.64,-1067.91,0,97.4,34,微信支付
2024-11-08,ORD-2024-00163,食品饮料,百草味,移动APP,西南,1,232.49,232.49,36.22,0,98.5,25,银行卡
2024-11-08,ORD-2024-00164,电子产品,小米,官方网站,华北,3,4403.57,13210.71,3282.2,0,99.7,29,支付宝
2024-11-09,ORD-2024-00165,母婴玩具,乐高,官方网站,华东,2,301.35,602.7,115.3,0,95.8,37,微信支付
2024-11-11,ORD-2024-00166,服装鞋帽,优衣库,线下门店,华东,6,280.99,1685.94,749.7,0,98.9,27,货到付款
2024-11-11,ORD-2024-00167,运动户外,凯乐石,移动APP,华南,1,204.82,204.82,50.36,0,97.9,20,支付宝
2024-11-13,ORD-2024-00168,服装鞋帽,优衣库,移动APP,华南,11,80.13,881.43,378.7,3,70.7,42,微信支付
2024-11-14,ORD-2024-00169,图书文具,中华书局,移动APP,华东,6,18.78,112.68,33.54,0,99.5,36,微信支付
2024-11-17,ORD-2024-00170,服装鞋帽,波司登,线下门店,西南,1,85.9,85.9,29.88,0,98.8,38,信用卡
2024-11-18,ORD-2024-00171,服装鞋帽,安踏,第三方平台,华北,7,589.52,4126.64,1706.66,0,98.7,29,支付宝
2024-11-18,ORD-2024-00172,电子产品,联想,移动APP,西南,2,896.1,1792.2,474.06,0,96.2,26,银行卡
2024-11-19,ORD-2024-00173,运动户外,北面,第三方平台,西南,4,181.42,725.68,242.78,0,97.1,32,微信支付
2024-11-20,ORD-2024-00174,图书文具,商务印书馆,第三方平台,华南,1,21.45,21.45,-1.7,0,98.5,43,信用卡
2024-11-21,ORD-2024-00175,电子产品,小米,官方网站,华北,3,6298.42,18895.26,3403.58,0,97.8,38,微信支付
2024-11-22,ORD-2024-00176,图书文具,外研社,移动APP,华东,2,18.58,37.16,10.25,2,74.1,18,银行卡
2024-11-22,ORD-2024-00177,服装鞋帽,李宁,移动APP,华南,4,148.29,593.16,237.36,0,99.6,23,支付宝
2024-11-24,ORD-2024-00178,运动户外,始祖鸟,移动APP,华南,1,309.53,309.53,-35.2,0,98.9,21,微信支付
2024-11-25,ORD-2024-00179,家居用品,罗莱家纺,直播带货,华南,1,373.71,373.71,96.64,0,96.1,40,货到付款
2024-11-25,ORD-2024-00180,母婴玩具,乐高,线下门店,华东,1,51.2,51.2,14.4,0,99.8,34,银行卡
2024-11-27,ORD-2024-00181,图书文具,得力,移动APP,华东,1,83.93,83.93,22.46,0,99.5,27,支付宝
2024-12-01,ORD-2024-00182,电子产品,华为,官方网站,东北,2,4828.64,9657.28,2429.76,0,98.3,33,信用卡
2024-12-02,ORD-2024-00183,美妆护肤,兰蔻,移动APP,华南,1,111.71,111.71,33.94,1,72.5,32,支付宝
2024-12-03,ORD-2024-00184,服装鞋帽,波司登,移动APP,华东,1,64.56,64.56,23.69,0,96.8,42,支付宝
2024-12-05,ORD-2024-00185,运动户外,凯乐石,第三方平台,华东,8,1619.49,12955.92,5139.79,0,98.5,26,支付宝
2024-12-06,ORD-2024-00186,美妆护肤,兰蔻,移动APP,华中,6,781.25,4687.5,1495.83,0,98.9,21,信用卡
2024-12-09,ORD-2024-00187,服装鞋帽,波司登,直播带货,华东,1,470.31,470.31,195.05,0,98.7,32,支付宝
2024-12-13,ORD-2024-00188,食品饮料,农夫山泉,移动APP,华北,2,30.94,61.88,11.84,0,97.1,37,微信支付
2024-12-15,ORD-2024-00189,美妆护肤,百雀羚,第三方平台,华南,5,1009.54,5047.7,2286.39,0,99.1,22,微信支付
2024-12-15,ORD-2024-00190,服装鞋帽,李宁,移动APP,东北,1,92.04,92.04,32.55,1,73.4,24,微信支付
2024-12-16,ORD-2024-00191,服装鞋帽,波司登,第三方平台,华南,4,218.13,872.52,336.35,0,97.6,26,支付宝
2024-12-17,ORD-2024-00192,母婴玩具,乐高,直播带货,华南,2,82.6,165.2,45.83,1,75.5,43,支付宝
2024-12-19,ORD-2024-00193,服装鞋帽,李宁,线下门店,华南,4,104.52,418.08,-46.14,0,97.1,18,信用卡
2024-12-21,ORD-2024-00194,家居用品,宜家,移动APP,华东,1,526.0,526.0,173.37,0,99.6,43,支付宝
2024-12-25,ORD-2024-00195,运动户外,凯乐石,移动APP,华东,1,257.17,257.17,53.28,0,98.2,20,微信支付
2024-12-26,ORD-2024-00196,服装鞋帽,安踏,线下门店,华北,1,357.45,357.45,108.77,0,97.9,23,货到付款
2024-12-27,ORD-2024-00197,服装鞋帽,安踏,直播带货,东北,1,174.14,174.14,55.29,1,80.0,18,支付宝
2024-12-27,ORD-2024-00198,家居用品,水星家纺,移动APP,华东,1,1020.57,1020.57,264.82,0,97.9,39,微信支付
2024-12-28,ORD-2024-00199,服装鞋帽,海澜之家,移动APP,华北,1,583.34,583.34,250.33,0,98.2,37,微信支付
2024-12-29,ORD-2024-00200,电子产品,苹果,移动APP,华北,1,269.88,269.88,75.25,0,97.6,42,银行卡
