出行日期,游客编号,出发城市,目的城市,交通方式,出行天数,人数,人均费用(元),总费用(元),住宿星级,景点评分,满意度评分(%),出行目的,预订渠道
2024-08-15,T10073,三亚,重庆,大巴,8,2,2448,4896,3,4.4,60.3,美食之旅,手机APP
2024-01-06,T10074,三亚,青岛,高铁,1,2,5067,10134,5,3.6,93.3,美食之旅,手机APP
2024-07-06,T10075,杭州,上海,高铁,5,1,901,901,4,4.5,87.3,美食之旅,旅行社
2024-02-25,T10076,重庆,厦门,自驾,6,1,3450,3450,5,4.8,92.0,文化体验,在线平台
2024-05-11,T10077,成都,昆明,火车,7,1,1602,1602,4,3.8,68.2,休闲度假,在线平台
2024-08-24,T10078,三亚,青岛,火车,5,1,4833,4833,5,4.4,72.3,美食之旅,手机APP
2024-08-16,T10079,广州,厦门,高铁,10,4,5109,20436,4,4.6,98.2,休闲度假,在线平台
2024-04-26,T10080,北京,昆明,火车,7,1,5623,5623,5,3.6,73.6,商务出行,在线平台
2024-05-26,T10081,厦门,深圳,飞机,5,3,6152,18456,5,4.3,72.6,休闲度假,在线平台
2024-01-27,T10082,厦门,杭州,高铁,4,4,3296,13184,5,4.8,96.0,文化体验,门店预订
2024-03-21,T10083,北京,青岛,大巴,9,4,1612,6448,5,4.2,91.8,休闲度假,手机APP
2024-01-07,T10084,三亚,青岛,火车,6,5,3084,15420,5,3.6,65.8,休闲度假,手机APP
2024-07-06,T10085,西安,青岛,火车,2,2,4876,9752,5,4.6,72.3,休闲度假,手机APP
2024-06-15,T10086,西安,上海,自驾,4,2,4571,9142,4,4.0,64.4,休闲度假,旅行社
2024-08-17,T10087,上海,昆明,高铁,4,1,4645,4645,5,4.9,88.6,美食之旅,手机APP
2024-03-07,T10088,杭州,广州,飞机,8,1,6803,6803,5,4.6,80.4,休闲度假,手机APP
2024-02-11,T10089,北京,青岛,大巴,1,5,7447,37235,3,4.3,85.7,探亲访友,在线平台
2024-06-07,T10090,三亚,成都,高铁,5,2,5733,11466,5,4.3,90.1,休闲度假,手机APP
2024-01-20,T10091,广州,深圳,火车,9,1,2741,2741,3,3.8,73.7,探亲访友,手机APP
2024-03-03,T10092,广州,杭州,自驾,10,2,5202,10404,5,4.3,62.0,休闲度假,门店预订
2024-01-03,T10093,厦门,北京,大巴,7,4,1367,5468,4,4.6,94.8,文化体验,手机APP
2024-02-25,T10094,成都,西安,大巴,10,2,7196,14392,4,3.6,91.3,文化体验,在线平台
2024-08-16,T10095,重庆,成都,高铁,4,6,6107,36642,4,4.8,84.1,探亲访友,门店预订
2024-08-16,T10096,广州,青岛,飞机,2,3,3206,9618,5,3.7,78.7,商务出行,手机APP
2024-02-13,T10097,杭州,厦门,飞机,6,2,5207,10414,4,4.5,90.9,美食之旅,门店预订
2024-04-18,T10098,西安,厦门,高铁,8,2,3886,7772,5,3.6,68.1,美食之旅,门店预订
2024-04-06,T10099,西安,厦门,飞机,10,3,6949,20847,5,3.7,83.2,探亲访友,在线平台
2024-02-20,T10100,重庆,广州,飞机,10,4,3023,12092,5,4.0,85.2,休闲度假,在线平台
2024-01-25,T10101,深圳,广州,高铁,3,5,7768,38840,5,4.3,75.2,美食之旅,门店预订
2024-05-19,T10102,深圳,成都,自驾,7,3,6082,18246,5,5.0,82.7,美食之旅,门店预订
2024-01-01,T10103,广州,杭州,火车,6,3,1011,3033,3,4.8,93.8,商务出行,门店预订
2024-06-23,T10104,青岛,三亚,大巴,7,6,3729,22374,5,4.2,68.2,商务出行,门店预订
2024-06-27,T10105,广州,成都,大巴,3,4,5050,20200,5,5.0,86.1,商务出行,在线平台
2024-08-22,T10106,上海,青岛,大巴,3,2,628,1256,3,3.7,91.4,文化体验,门店预订
2024-07-18,T10107,三亚,广州,大巴,7,5,4222,21110,5,3.8,76.6,休闲度假,门店预订
2024-05-14,T10108,青岛,深圳,火车,10,5,6333,31665,5,3.6,61.5,文化体验,手机APP
2024-02-05,T10109,上海,厦门,火车,5,6,4444,26664,5,4.3,80.4,美食之旅,在线平台
2024-02-22,T10110,深圳,昆明,火车,10,6,5666,33996,5,4.4,95.2,美食之旅,在线平台
2024-06-14,T10111,重庆,昆明,自驾,5,4,4699,18796,5,3.8,87.1,美食之旅,手机APP
2024-08-19,T10112,青岛,三亚,高铁,10,1,2633,2633,3,4.5,71.4,美食之旅,在线平台
2024-02-28,T10113,成都,昆明,自驾,5,2,1175,2350,4,4.4,70.7,探亲访友,在线平台
2024-03-22,T10114,青岛,上海,大巴,6,2,5446,10892,4,3.9,87.3,文化体验,旅行社
2024-03-20,T10115,昆明,北京,高铁,8,1,3308,3308,5,4.7,69.3,文化体验,旅行社
2024-01-21,T10116,深圳,厦门,自驾,2,3,6515,19545,3,3.8,75.6,探亲访友,门店预订
2024-07-16,T10117,青岛,昆明,自驾,3,4,2414,9656,4,4.8,60.5,文化体验,门店预订
2024-01-04,T10118,厦门,杭州,火车,6,6,4843,29058,5,4.4,85.4,探亲访友,手机APP
2024-05-21,T10119,成都,杭州,火车,7,1,7072,7072,5,4.7,89.2,美食之旅,旅行社
2024-03-11,T10120,昆明,杭州,火车,1,6,6051,36306,3,4.7,60.5,休闲度假,在线平台
2024-05-09,T10121,厦门,重庆,高铁,1,2,3379,6758,3,4.4,62.2,美食之旅,旅行社
2024-02-03,T10122,三亚,青岛,火车,3,6,1497,8982,5,4.5,95.1,美食之旅,旅行社
2024-08-22,T10123,上海,深圳,飞机,8,3,2575,7725,5,4.7,87.0,探亲访友,手机APP
2024-07-13,T10124,广州,上海,自驾,1,1,2771,2771,5,4.9,70.3,文化体验,在线平台
2024-03-21,T10125,重庆,深圳,大巴,2,4,5499,21996,4,4.3,76.8,美食之旅,在线平台
2024-02-03,T10126,重庆,成都,火车,5,1,1346,1346,5,3.5,79.4,休闲度假,在线平台
2024-06-13,T10127,厦门,西安,火车,1,2,2682,5364,4,4.6,90.1,文化体验,门店预订
2024-01-13,T10128,西安,上海,大巴,2,2,4924,9848,4,4.3,98.7,探亲访友,手机APP
2024-02-12,T10129,西安,北京,火车,6,6,5679,34074,3,4.8,89.7,探亲访友,旅行社
2024-04-10,T10130,广州,三亚,大巴,2,4,822,3288,5,4.2,94.5,文化体验,旅行社
2024-04-16,T10131,广州,北京,大巴,2,1,2081,2081,4,4.5,79.5,文化体验,在线平台
2024-01-13,T10132,北京,西安,飞机,4,3,959,2877,4,4.2,86.4,美食之旅,旅行社
2024-01-24,T10133,青岛,三亚,高铁,8,1,2408,2408,3,4.2,95.8,休闲度假,旅行社
2024-03-21,T10134,青岛,厦门,飞机,5,1,1569,1569,3,4.2,66.7,美食之旅,在线平台
2024-04-03,T10135,上海,广州,高铁,7,5,4572,22860,5,4.7,98.3,文化体验,手机APP
2024-03-11,T10136,上海,青岛,高铁,1,5,5218,26090,4,3.8,62.5,探亲访友,旅行社
2024-03-15,T10137,西安,广州,高铁,10,3,6204,18612,3,3.7,90.9,美食之旅,门店预订
2024-02-01,T10138,广州,北京,飞机,3,4,7705,30820,3,4.6,83.2,探亲访友,门店预订
2024-04-05,T10139,青岛,重庆,自驾,9,2,6171,12342,5,4.1,96.6,美食之旅,在线平台
2024-02-21,T10140,三亚,广州,自驾,6,4,6375,25500,5,3.5,69.2,休闲度假,在线平台
2024-04-15,T10141,三亚,杭州,高铁,5,5,7567,37835,3,3.8,91.1,文化体验,门店预订
2024-01-21,T10142,广州,深圳,自驾,5,1,5989,5989,4,4.2,73.0,文化体验,在线平台
2024-03-26,T10143,上海,北京,飞机,8,2,4902,9804,4,3.7,94.9,文化体验,手机APP
2024-06-08,T10144,西安,深圳,飞机,6,6,6620,39720,4,3.6,88.8,商务出行,门店预订
2024-08-02,T10145,深圳,上海,大巴,3,5,4358,21790,4,4.9,77.7,文化体验,手机APP
2024-06-09,T10146,广州,昆明,高铁,6,2,6396,12792,4,3.5,82.2,探亲访友,旅行社
2024-03-25,T10147,上海,昆明,自驾,4,4,4256,17024,5,4.4,90.8,美食之旅,旅行社
2024-02-14,T10148,三亚,昆明,火车,8,2,7504,15008,4,4.4,92.6,探亲访友,在线平台
2024-04-11,T10149,青岛,西安,大巴,10,2,6530,13060,4,4.8,83.1,商务出行,在线平台
2024-01-14,T10150,西安,北京,火车,7,4,828,3312,5,4.7,87.2,休闲度假,门店预订
2024-01-23,T10151,重庆,深圳,大巴,4,5,1180,5900,4,4.0,69.3,休闲度假,在线平台
2024-08-28,T10152,重庆,青岛,火车,10,2,2997,5994,3,5.0,78.1,商务出行,门店预订
2024-01-28,T10153,广州,西安,飞机,7,4,5634,22536,5,4.3,71.6,探亲访友,旅行社
2024-01-17,T10154,厦门,上海,自驾,1,3,5582,16746,3,4.1,78.1,休闲度假,手机APP
2024-02-18,T10155,杭州,广州,高铁,3,5,5809,29045,5,3.9,64.4,文化体验,旅行社
2024-05-17,T10156,青岛,深圳,大巴,5,3,3125,9375,3,3.6,73.5,文化体验,在线平台
2024-05-15,T10157,重庆,三亚,火车,6,5,6056,30280,3,3.8,94.5,休闲度假,在线平台
2024-02-06,T10158,西安,广州,自驾,2,1,2862,2862,4,4.2,94.1,美食之旅,在线平台
2024-03-16,T10159,成都,重庆,自驾,7,5,6090,30450,5,4.6,60.8,商务出行,在线平台
2024-06-14,T10160,北京,成都,火车,6,5,7339,36695,5,4.2,86.0,美食之旅,门店预订
2024-05-06,T10161,重庆,成都,自驾,4,2,5146,10292,5,4.1,71.2,休闲度假,旅行社
2024-03-23,T10162,杭州,成都,火车,5,2,4234,8468,4,5.0,92.7,商务出行,旅行社
2024-03-15,T10163,深圳,上海,自驾,6,3,837,2511,4,3.8,87.6,探亲访友,手机APP
2024-03-18,T10164,广州,西安,自驾,2,5,4173,20865,3,4.1,79.5,商务出行,门店预订
2024-06-21,T10165,杭州,广州,自驾,8,6,535,3210,5,5.0,89.4,美食之旅,旅行社
2024-02-24,T10166,三亚,重庆,大巴,1,6,3274,19644,4,4.5,64.6,休闲度假,门店预订
2024-02-11,T10167,三亚,深圳,飞机,10,3,4153,12459,4,4.4,68.7,探亲访友,旅行社
2024-02-17,T10168,北京,广州,大巴,4,4,4910,19640,5,4.0,83.6,休闲度假,手机APP
2024-06-13,T10169,西安,广州,自驾,1,4,6365,25460,5,4.0,72.0,文化体验,在线平台
2024-08-10,T10170,深圳,昆明,高铁,7,4,6574,26296,5,3.7,82.9,休闲度假,旅行社
2024-06-03,T10171,深圳,杭州,火车,7,5,4388,21940,3,3.5,84.9,探亲访友,门店预订
2024-03-07,T10172,广州,三亚,高铁,7,6,4285,25710,5,4.3,61.6,探亲访友,手机APP
2024-04-01,T10173,重庆,三亚,飞机,3,4,6560,26240,5,4.0,85.0,文化体验,在线平台
2024-07-06,T10174,厦门,青岛,大巴,4,3,7812,23436,3,3.7,70.8,休闲度假,手机APP
2024-05-21,T10175,三亚,重庆,大巴,2,4,5133,20532,5,4.3,82.4,探亲访友,旅行社
2024-08-23,T10176,三亚,北京,高铁,6,3,1697,5091,4,3.6,74.1,探亲访友,在线平台
2024-02-17,T10177,成都,杭州,高铁,3,6,4838,29028,3,4.4,66.5,探亲访友,手机APP
2024-06-04,T10178,厦门,成都,火车,10,6,2723,16338,5,4.7,60.5,美食之旅,手机APP
2024-03-04,T10179,杭州,昆明,高铁,3,3,3875,11625,4,3.8,67.3,美食之旅,在线平台
2024-03-01,T10180,西安,昆明,大巴,6,1,1125,1125,5,4.5,65.4,文化体验,手机APP
2024-02-08,T10181,广州,杭州,高铁,3,6,735,4410,4,4.0,68.2,休闲度假,门店预订
2024-08-25,T10182,青岛,上海,大巴,1,1,1136,1136,4,3.7,90.9,美食之旅,在线平台
2024-01-03,T10183,重庆,上海,自驾,1,3,7942,23826,3,4.7,95.9,商务出行,旅行社
2024-02-05,T10184,广州,青岛,自驾,10,1,3379,3379,5,4.0,93.4,美食之旅,旅行社
2024-01-17,T10185,昆明,厦门,高铁,4,1,1059,1059,5,3.8,89.4,休闲度假,在线平台
2024-08-12,T10186,深圳,三亚,火车,3,6,7473,44838,5,4.5,64.2,探亲访友,门店预订
2024-07-04,T10187,西安,深圳,自驾,2,2,4712,9424,5,3.7,65.3,探亲访友,手机APP
2024-08-04,T10188,昆明,北京,大巴,5,3,1173,3519,5,4.4,72.2,文化体验,旅行社
2024-04-28,T10189,昆明,西安,飞机,8,4,2880,11520,5,3.8,99.0,文化体验,在线平台
2024-02-04,T10190,西安,昆明,高铁,7,6,4781,28686,5,4.5,98.1,商务出行,在线平台
2024-07-04,T10191,杭州,深圳,高铁,7,2,3274,6548,5,3.9,87.8,美食之旅,手机APP
2024-07-16,T10192,厦门,西安,火车,5,4,3417,13668,4,4.7,64.2,探亲访友,门店预订
2024-01-04,T10193,重庆,深圳,飞机,2,2,5647,11294,5,4.5,97.9,文化体验,手机APP
2024-02-25,T10194,广州,杭州,飞机,9,5,5595,27975,5,4.7,67.9,文化体验,门店预订
2024-01-25,T10195,昆明,成都,飞机,7,3,4943,14829,3,4.1,72.3,文化体验,门店预订
2024-05-23,T10196,重庆,北京,高铁,8,2,769,1538,5,3.7,87.9,文化体验,在线平台
2024-08-16,T10197,三亚,青岛,火车,3,6,4518,27108,4,3.6,70.3,美食之旅,门店预订
2024-06-02,T10198,三亚,青岛,飞机,10,3,3389,10167,3,3.7,74.3,美食之旅,在线平台
2024-07-12,T10199,厦门,杭州,自驾,7,1,3617,3617,5,3.6,69.5,商务出行,手机APP
