比赛日期,球队名称,对手球队,比赛场地,胜负结果,得分,失分,篮板数,助攻数,抢断数,盖帽数,三分命中率(%),罚球命中率(%),上座人数
2024-10-27,上海久事,江苏肯帝亚,客场·南京体育馆,胜,102,95,35,21,7,5,40.0,81.7,2277
2024-10-28,北京首钢,深圳马可波罗,客场·深圳体育馆,胜,127,100,45,27,9,1,38.2,74.6,6446
2024-10-30,深圳马可波罗,北京首钢,主场·深圳体育馆,胜,95,80,41,22,9,6,37.7,70.7,2683
2024-10-31,山东高速,广东宏远,客场·东莞体育馆,负,101,118,46,15,7,4,32.1,71.1,9939
2024-11-01,浙江广厦,辽宁本钢,主场·杭州体育馆,胜,126,102,56,24,6,5,44.5,70.4,4823
2024-11-03,深圳马可波罗,北京首钢,客场·北京体育馆,胜,97,89,41,21,10,5,27.1,76.5,11343
2024-11-04,四川金强,上海久事,客场·上海体育馆,胜,111,90,41,24,10,2,33.1,65.5,11051
2024-11-05,四川金强,山东高速,客场·济南体育馆,负,86,109,47,16,9,3,38.3,79.1,7810
2024-11-06,四川金强,新疆伊力特,客场·乌鲁木齐体育馆,负,80,110,39,16,9,6,26.2,82.4,8763
2024-11-07,北京首钢,上海久事,客场·上海体育馆,负,101,113,48,27,8,6,30.2,79.7,8693
2024-11-09,江苏肯帝亚,深圳马可波罗,主场·南京体育馆,负,85,94,37,24,8,6,29.8,76.3,2000
2024-11-10,浙江广厦,上海久事,主场·杭州体育馆,负,89,103,30,21,3,4,45.6,78.6,5273
2024-11-10,四川金强,新疆伊力特,客场·乌鲁木齐体育馆,胜,96,94,45,12,6,3,36.5,74.7,5688
2024-11-10,辽宁本钢,深圳马可波罗,主场·沈阳体育馆,胜,108,89,42,26,7,5,49.8,68.6,7296
2024-11-12,四川金强,江苏肯帝亚,主场·成都体育馆,胜,111,92,43,31,10,7,26.0,68.8,2000
2024-11-12,山东高速,浙江广厦,主场·济南体育馆,胜,101,92,37,23,7,4,34.5,66.3,8026
2024-11-13,新疆伊力特,浙江广厦,主场·乌鲁木齐体育馆,负,96,107,46,20,12,4,25.1,71.2,6411
2024-11-13,上海久事,广东宏远,主场·上海体育馆,胜,97,95,43,24,8,2,34.6,83.7,9897
2024-11-14,浙江广厦,北京首钢,主场·杭州体育馆,胜,109,100,45,24,8,4,25.9,73.9,7937
2024-11-16,辽宁本钢,江苏肯帝亚,客场·南京体育馆,胜,119,94,51,26,11,4,31.0,86.1,5273
2024-11-16,北京首钢,四川金强,客场·成都体育馆,胜,108,102,41,23,8,2,32.4,85.4,6772
2024-11-16,江苏肯帝亚,山东高速,主场·南京体育馆,负,100,113,41,23,10,3,43.2,66.1,8759
2024-11-18,深圳马可波罗,辽宁本钢,主场·深圳体育馆,胜,98,91,42,18,3,5,29.4,85.0,8500
2024-11-18,浙江广厦,辽宁本钢,客场·沈阳体育馆,胜,102,79,41,23,8,4,34.9,59.4,14512
2024-11-19,江苏肯帝亚,辽宁本钢,客场·沈阳体育馆,负,100,105,33,26,10,3,31.4,72.5,11840
2024-11-19,浙江广厦,新疆伊力特,主场·杭州体育馆,负,101,106,43,12,9,7,28.3,78.6,10659
2024-11-23,深圳马可波罗,浙江广厦,客场·杭州体育馆,胜,122,104,54,30,9,5,23.5,77.1,6747
2024-11-23,广东宏远,四川金强,主场·东莞体育馆,胜,114,88,42,17,7,5,34.7,73.6,9444
2024-11-23,广东宏远,浙江广厦,主场·东莞体育馆,负,98,105,42,18,4,8,35.0,82.2,11583
2024-11-24,辽宁本钢,山东高速,主场·沈阳体育馆,胜,108,93,43,21,9,3,37.5,64.3,9800
2024-11-24,山东高速,深圳马可波罗,主场·济南体育馆,负,89,98,43,28,6,5,24.5,61.8,9189
2024-11-24,广东宏远,北京首钢,客场·北京体育馆,胜,106,93,46,12,6,2,34.9,73.7,11595
2024-11-27,辽宁本钢,北京首钢,主场·沈阳体育馆,胜,117,88,50,24,8,5,27.9,82.4,13606
2024-11-27,北京首钢,广东宏远,客场·东莞体育馆,胜,113,110,41,23,3,3,31.3,78.4,10499
2024-11-27,辽宁本钢,四川金强,客场·成都体育馆,胜,97,78,39,30,8,6,32.6,68.5,2557
2024-11-28,江苏肯帝亚,新疆伊力特,客场·乌鲁木齐体育馆,胜,111,106,56,26,7,8,32.7,60.5,8491
2024-12-01,深圳马可波罗,广东宏远,主场·深圳体育馆,负,98,102,48,20,7,3,26.0,79.5,10871
2024-12-03,辽宁本钢,四川金强,客场·成都体育馆,胜,117,87,40,25,5,1,44.5,72.0,2332
2024-12-03,江苏肯帝亚,四川金强,主场·南京体育馆,胜,99,87,45,25,4,3,32.3,75.3,7665
2024-12-03,山东高速,广东宏远,主场·济南体育馆,胜,116,99,49,20,10,5,35.9,70.9,4177
2024-12-04,广东宏远,江苏肯帝亚,主场·东莞体育馆,胜,116,100,47,33,11,4,38.2,77.6,8835
2024-12-05,上海久事,山东高速,主场·上海体育馆,负,87,98,39,14,8,6,36.6,74.2,10182
2024-12-07,江苏肯帝亚,北京首钢,客场·北京体育馆,负,104,122,48,30,3,5,31.5,74.3,8390
2024-12-08,深圳马可波罗,上海久事,主场·深圳体育馆,胜,105,91,58,17,5,6,33.6,80.7,7260
2024-12-10,深圳马可波罗,山东高速,主场·深圳体育馆,胜,99,93,35,23,9,5,39.6,77.7,5434
2024-12-10,浙江广厦,广东宏远,主场·杭州体育馆,胜,116,99,54,29,7,2,35.7,71.7,10078
2024-12-11,广东宏远,四川金强,客场·成都体育馆,胜,119,98,54,25,8,5,34.5,79.8,5487
2024-12-11,上海久事,山东高速,客场·济南体育馆,负,90,110,37,21,7,5,22.1,74.1,9749
2024-12-11,浙江广厦,江苏肯帝亚,主场·杭州体育馆,胜,121,87,48,26,9,6,40.7,92.0,7079
2024-12-12,浙江广厦,深圳马可波罗,客场·深圳体育馆,胜,107,84,43,28,9,1,37.5,74.9,3952
2024-12-13,辽宁本钢,山东高速,主场·沈阳体育馆,胜,111,94,48,24,5,4,35.1,76.5,11981
2024-12-13,北京首钢,江苏肯帝亚,客场·南京体育馆,负,96,104,37,21,8,3,29.7,79.8,9234
2024-12-15,上海久事,广东宏远,客场·东莞体育馆,胜,109,101,48,18,11,2,35.0,69.9,13106
2024-12-15,浙江广厦,北京首钢,主场·杭州体育馆,胜,100,91,38,26,8,6,41.6,73.5,8763
2024-12-16,新疆伊力特,广东宏远,主场·乌鲁木齐体育馆,胜,102,99,49,25,7,6,26.2,76.7,5500
2024-12-19,新疆伊力特,辽宁本钢,主场·乌鲁木齐体育馆,负,79,116,42,12,12,9,33.2,70.0,11872
2024-12-20,新疆伊力特,浙江广厦,客场·杭州体育馆,负,98,101,41,17,6,4,27.3,69.0,7067
2024-12-21,北京首钢,浙江广厦,主场·北京体育馆,胜,104,97,38,26,5,3,36.2,77.6,8776
2024-12-22,山东高速,广东宏远,客场·东莞体育馆,负,72,105,32,21,3,6,32.6,72.1,9990
2024-12-22,浙江广厦,江苏肯帝亚,客场·南京体育馆,负,96,106,37,22,9,5,47.5,72.3,5078
2024-12-22,上海久事,浙江广厦,主场·上海体育馆,胜,102,95,39,22,6,4,41.3,74.0,7674
2024-12-25,广东宏远,新疆伊力特,主场·东莞体育馆,胜,104,103,44,19,8,6,35.1,83.9,14043
2024-12-25,江苏肯帝亚,上海久事,客场·上海体育馆,胜,107,103,41,24,8,7,33.0,83.4,8369
2024-12-26,深圳马可波罗,北京首钢,客场·北京体育馆,胜,115,90,40,32,6,4,28.9,82.4,7493
2024-12-27,江苏肯帝亚,广东宏远,客场·东莞体育馆,负,95,106,47,19,8,2,45.6,72.7,12017
2024-12-27,山东高速,深圳马可波罗,主场·济南体育馆,负,102,103,43,23,6,2,30.9,75.6,11174
2024-12-28,北京首钢,四川金强,主场·北京体育馆,胜,123,91,48,27,10,1,39.3,74.9,8590
2024-12-28,浙江广厦,上海久事,主场·杭州体育馆,胜,112,111,38,24,4,4,34.2,80.2,7091
2024-12-29,上海久事,深圳马可波罗,主场·上海体育馆,胜,113,110,42,20,10,3,29.9,67.7,8034
2024-12-29,广东宏远,山东高速,客场·济南体育馆,胜,111,87,44,24,10,4,31.4,76.9,6209
2024-12-29,江苏肯帝亚,上海久事,客场·上海体育馆,胜,103,81,37,27,5,5,26.1,79.5,10862
2024-12-31,深圳马可波罗,北京首钢,客场·北京体育馆,负,88,92,39,22,8,3,31.3,76.2,7007
2024-12-31,江苏肯帝亚,浙江广厦,客场·杭州体育馆,胜,105,103,50,23,9,4,42.3,77.6,8095
2025-01-02,四川金强,浙江广厦,客场·杭州体育馆,胜,98,96,44,22,6,1,32.6,76.5,3595
2025-01-03,四川金强,深圳马可波罗,主场·成都体育馆,胜,103,102,40,24,7,5,36.9,78.4,7033
2025-01-03,江苏肯帝亚,上海久事,客场·上海体育馆,负,93,95,42,27,6,5,29.1,76.3,11518
2025-01-04,新疆伊力特,北京首钢,主场·乌鲁木齐体育馆,胜,93,85,53,25,6,7,31.8,82.6,8660
2025-01-04,上海久事,山东高速,主场·上海体育馆,胜,112,103,46,27,6,5,41.9,82.3,10096
2025-01-04,辽宁本钢,四川金强,客场·成都体育馆,胜,109,96,44,21,9,5,39.8,81.5,4452
2025-01-04,江苏肯帝亚,四川金强,客场·成都体育馆,胜,98,89,33,18,7,7,34.6,71.7,5297
2025-01-05,北京首钢,四川金强,主场·北京体育馆,胜,129,110,45,19,9,6,31.9,72.4,13165
2025-01-05,江苏肯帝亚,北京首钢,客场·北京体育馆,负,92,109,42,22,9,9,40.9,76.3,9378
2025-01-06,上海久事,深圳马可波罗,客场·深圳体育馆,胜,101,100,41,20,10,2,37.4,74.2,7329
2025-01-06,浙江广厦,四川金强,主场·杭州体育馆,负,102,103,43,17,9,4,27.3,79.6,9013
2025-01-08,四川金强,辽宁本钢,客场·沈阳体育馆,胜,106,95,44,22,6,5,32.6,83.2,12372
2025-01-10,广东宏远,浙江广厦,主场·东莞体育馆,胜,105,98,48,17,11,7,23.6,90.7,15642
2025-01-10,上海久事,山东高速,主场·上海体育馆,胜,101,89,45,23,12,2,39.0,75.7,13199
2025-01-11,辽宁本钢,上海久事,客场·上海体育馆,负,91,97,50,25,6,1,31.2,68.3,5309
2025-01-11,山东高速,北京首钢,主场·济南体育馆,胜,111,97,40,21,7,4,33.1,75.6,7443
2025-01-12,四川金强,浙江广厦,主场·成都体育馆,胜,105,99,40,30,8,6,27.5,67.1,3861
2025-01-12,深圳马可波罗,浙江广厦,主场·深圳体育馆,胜,101,86,37,25,9,4,27.6,69.0,5753
2025-01-13,上海久事,四川金强,客场·成都体育馆,胜,101,87,44,19,6,7,41.8,78.1,2456
2025-01-14,北京首钢,辽宁本钢,客场·沈阳体育馆,胜,105,104,50,27,4,6,32.8,75.9,9543
2025-01-14,广东宏远,上海久事,主场·东莞体育馆,胜,110,86,43,26,6,4,34.1,76.4,12486
2025-01-14,深圳马可波罗,辽宁本钢,主场·深圳体育馆,胜,103,93,34,29,5,3,29.2,74.9,10032
2025-01-15,上海久事,四川金强,客场·成都体育馆,胜,118,112,47,30,9,8,35.9,73.5,2760
2025-01-16,北京首钢,江苏肯帝亚,客场·南京体育馆,胜,104,88,43,25,7,6,34.2,75.0,7162
2025-01-17,山东高速,江苏肯帝亚,主场·济南体育馆,胜,108,94,45,19,7,5,43.5,66.7,11025
2025-01-18,江苏肯帝亚,北京首钢,客场·北京体育馆,负,97,110,50,21,8,5,47.8,62.4,11366
2025-01-19,四川金强,深圳马可波罗,客场·深圳体育馆,胜,91,83,42,28,3,4,29.5,78.3,6155
2025-01-20,四川金强,广东宏远,客场·东莞体育馆,负,81,119,41,17,6,7,35.9,73.9,11524
2025-01-20,山东高速,四川金强,客场·成都体育馆,胜,105,102,47,23,7,5,27.0,75.7,2000
2025-01-22,四川金强,北京首钢,客场·北京体育馆,负,82,95,45,23,8,5,47.3,87.8,8626
2025-01-23,广东宏远,四川金强,主场·东莞体育馆,胜,105,91,51,21,8,1,34.5,66.8,12858
2025-01-25,上海久事,新疆伊力特,客场·乌鲁木齐体育馆,胜,108,105,55,23,7,7,29.5,72.0,7283
2025-01-26,四川金强,深圳马可波罗,主场·成都体育馆,负,98,115,45,28,8,8,46.0,64.8,5442
2025-01-26,山东高速,北京首钢,主场·济南体育馆,胜,110,96,48,27,6,6,40.1,65.1,8086
2025-01-27,四川金强,辽宁本钢,主场·成都体育馆,负,107,126,44,26,8,3,21.0,69.9,2216
2025-01-27,浙江广厦,辽宁本钢,主场·杭州体育馆,胜,119,107,41,22,9,7,37.5,77.2,10156
2025-01-27,上海久事,新疆伊力特,客场·乌鲁木齐体育馆,胜,101,93,44,19,13,4,38.4,75.6,6032
2025-01-28,北京首钢,上海久事,客场·上海体育馆,负,85,94,31,19,4,3,38.9,75.8,7340
2025-01-29,江苏肯帝亚,广东宏远,客场·东莞体育馆,负,96,109,44,25,8,5,22.5,74.4,12959
2025-01-29,江苏肯帝亚,上海久事,主场·南京体育馆,胜,109,107,41,22,11,5,40.8,79.9,3146
2025-01-30,山东高速,上海久事,客场·上海体育馆,胜,106,97,39,23,8,11,33.7,69.1,9546
2025-01-31,辽宁本钢,北京首钢,主场·沈阳体育馆,负,88,103,45,19,7,3,29.2,78.5,8452
2025-01-31,新疆伊力特,辽宁本钢,主场·乌鲁木齐体育馆,负,108,116,38,16,8,5,35.6,72.9,8098
2025-02-01,四川金强,江苏肯帝亚,客场·南京体育馆,负,104,108,45,23,10,1,30.0,69.8,7512
2025-02-02,江苏肯帝亚,四川金强,客场·成都体育馆,负,99,122,46,22,7,6,39.5,76.8,5207
2025-02-03,江苏肯帝亚,四川金强,客场·成都体育馆,胜,101,92,57,18,6,5,39.1,82.0,8615
2025-02-03,上海久事,山东高速,客场·济南体育馆,负,89,95,43,22,5,4,32.7,88.5,8272
2025-02-04,辽宁本钢,新疆伊力特,客场·乌鲁木齐体育馆,胜,108,99,40,18,10,8,30.4,79.5,5748
2025-02-07,浙江广厦,广东宏远,主场·杭州体育馆,负,87,100,36,23,6,6,32.4,67.2,7026
2025-02-08,辽宁本钢,上海久事,客场·上海体育馆,负,87,103,48,25,6,7,33.3,74.0,8582
2025-02-09,浙江广厦,辽宁本钢,主场·杭州体育馆,胜,101,91,40,26,8,6,36.7,66.0,14228
2025-02-09,北京首钢,辽宁本钢,主场·北京体育馆,负,106,126,52,17,6,3,37.9,78.8,11126
2025-02-10,深圳马可波罗,广东宏远,主场·深圳体育馆,负,86,116,45,19,5,6,28.0,70.2,6452
2025-02-11,浙江广厦,上海久事,客场·上海体育馆,负,84,98,45,20,5,3,29.8,74.8,11467
2025-02-11,北京首钢,山东高速,主场·北京体育馆,负,104,109,38,21,9,5,36.5,70.5,9856
2025-02-12,北京首钢,上海久事,主场·北京体育馆,胜,101,90,41,26,5,5,25.0,72.8,9341
2025-02-12,上海久事,四川金强,主场·上海体育馆,胜,124,99,29,31,6,6,39.0,84.8,9395
2025-02-12,北京首钢,浙江广厦,主场·北京体育馆,胜,114,94,47,35,10,4,32.0,75.3,11702
2025-02-13,北京首钢,深圳马可波罗,主场·北京体育馆,胜,95,85,36,17,7,5,40.2,91.9,5501
2025-02-13,浙江广厦,辽宁本钢,主场·杭州体育馆,胜,101,81,40,21,6,5,33.1,73.7,5151
2025-02-14,深圳马可波罗,浙江广厦,主场·深圳体育馆,负,97,106,45,18,9,4,33.9,69.9,5700
2025-02-14,新疆伊力特,辽宁本钢,客场·沈阳体育馆,负,91,117,44,22,11,6,31.4,76.0,7071
2025-02-14,浙江广厦,辽宁本钢,主场·杭州体育馆,胜,114,86,48,24,7,5,34.9,70.8,8284
2025-02-15,上海久事,广东宏远,客场·东莞体育馆,负,84,105,42,21,5,6,30.9,66.9,11432
2025-02-15,浙江广厦,江苏肯帝亚,客场·南京体育馆,胜,107,90,44,28,8,9,44.6,76.8,5288
2025-02-17,深圳马可波罗,四川金强,主场·深圳体育馆,胜,123,88,38,23,7,5,34.2,80.9,5274
2025-02-17,广东宏远,深圳马可波罗,主场·东莞体育馆,胜,113,92,42,22,6,4,41.8,76.1,9300
2025-02-19,新疆伊力特,辽宁本钢,客场·沈阳体育馆,胜,116,99,46,32,6,7,42.7,71.8,10444
2025-02-20,深圳马可波罗,广东宏远,主场·深圳体育馆,负,94,102,31,26,5,6,38.5,88.7,7798
2025-02-22,上海久事,北京首钢,主场·上海体育馆,胜,101,97,43,21,10,8,37.5,76.3,9073
2025-02-24,广东宏远,山东高速,主场·东莞体育馆,胜,111,98,41,23,7,7,34.6,89.7,12861
2025-02-25,浙江广厦,江苏肯帝亚,客场·南京体育馆,胜,95,89,39,16,4,5,32.1,88.1,5641
2025-02-26,江苏肯帝亚,深圳马可波罗,客场·深圳体育馆,胜,94,87,35,21,5,3,45.0,80.7,5995
2025-02-27,北京首钢,深圳马可波罗,主场·北京体育馆,胜,113,101,48,19,4,3,31.8,81.0,8770
2025-03-01,山东高速,上海久事,客场·上海体育馆,负,99,105,38,27,9,6,30.4,74.8,10450
2025-03-01,四川金强,辽宁本钢,主场·成都体育馆,胜,111,99,49,21,13,4,35.8,75.1,10210
2025-03-01,江苏肯帝亚,上海久事,客场·上海体育馆,胜,112,98,50,24,10,5,22.6,56.4,9419
2025-03-04,北京首钢,深圳马可波罗,客场·深圳体育馆,负,101,118,44,21,8,4,36.4,69.2,6482
2025-03-04,广东宏远,四川金强,主场·东莞体育馆,胜,131,80,49,24,10,3,43.6,90.4,10320
2025-03-05,辽宁本钢,上海久事,客场·上海体育馆,胜,115,85,50,26,10,4,30.9,83.7,9639
2025-03-08,上海久事,山东高速,主场·上海体育馆,胜,100,89,53,22,9,5,29.9,80.3,9629
2025-03-09,新疆伊力特,辽宁本钢,客场·沈阳体育馆,胜,94,93,35,23,6,7,34.0,70.8,11315
2025-03-09,北京首钢,山东高速,主场·北京体育馆,胜,110,96,43,17,6,6,45.8,75.7,10655
2025-03-10,江苏肯帝亚,新疆伊力特,客场·乌鲁木齐体育馆,胜,106,91,42,23,4,4,38.4,72.5,8984
2025-03-10,山东高速,深圳马可波罗,主场·济南体育馆,胜,114,91,50,25,9,3,39.6,88.7,5484
2025-03-10,辽宁本钢,广东宏远,主场·沈阳体育馆,胜,111,94,31,30,10,1,30.9,85.1,16895
2025-03-11,深圳马可波罗,四川金强,主场·深圳体育馆,胜,93,87,40,14,3,1,34.5,75.2,7165
2025-03-14,江苏肯帝亚,上海久事,客场·上海体育馆,负,97,109,40,18,8,4,36.7,75.5,6758
2025-03-15,北京首钢,深圳马可波罗,主场·北京体育馆,负,81,92,36,26,8,5,38.5,76.8,13064
2025-03-18,深圳马可波罗,浙江广厦,主场·深圳体育馆,负,81,102,44,12,9,2,34.4,70.5,8418
2025-03-18,江苏肯帝亚,广东宏远,客场·东莞体育馆,负,99,102,43,21,10,6,31.8,70.0,9462
2025-03-18,辽宁本钢,深圳马可波罗,客场·深圳体育馆,胜,107,102,43,26,3,4,47.1,72.5,5292
2025-03-19,浙江广厦,山东高速,主场·杭州体育馆,胜,103,85,32,22,8,4,35.1,76.9,9045
2025-03-22,浙江广厦,深圳马可波罗,主场·杭州体育馆,胜,118,111,48,28,9,5,39.4,83.9,5227
2025-03-22,新疆伊力特,北京首钢,客场·北京体育馆,胜,100,97,43,28,8,5,39.0,77.9,9801
2025-03-23,北京首钢,新疆伊力特,主场·北京体育馆,负,91,97,50,17,6,7,32.8,70.2,10526
2025-03-25,四川金强,江苏肯帝亚,客场·南京体育馆,胜,105,90,37,21,9,6,27.4,80.0,5833
2025-03-28,江苏肯帝亚,广东宏远,客场·东莞体育馆,负,87,97,36,22,12,4,35.5,73.5,15884
2025-03-29,广东宏远,深圳马可波罗,客场·深圳体育馆,胜,116,103,56,28,6,6,43.2,83.6,4946
2025-03-29,辽宁本钢,浙江广厦,主场·沈阳体育馆,胜,98,91,44,22,10,5,31.6,65.0,14358
2025-03-29,深圳马可波罗,江苏肯帝亚,主场·深圳体育馆,胜,103,87,47,18,8,9,39.1,79.2,10214
2025-03-29,北京首钢,上海久事,主场·北京体育馆,胜,117,94,47,26,5,8,37.7,74.6,10442
2025-03-30,深圳马可波罗,浙江广厦,客场·杭州体育馆,胜,107,91,43,19,14,5,26.7,92.0,5927
2025-03-30,山东高速,辽宁本钢,主场·济南体育馆,负,100,108,40,34,5,3,30.2,76.6,6559
2025-03-31,四川金强,新疆伊力特,主场·成都体育馆,负,91,107,47,32,8,6,29.1,71.3,7568
2025-04-01,深圳马可波罗,江苏肯帝亚,主场·深圳体育馆,负,107,115,43,21,9,7,42.2,77.5,7178
2025-04-01,北京首钢,辽宁本钢,客场·沈阳体育馆,负,97,101,49,24,8,3,37.1,72.8,11938
2025-04-02,山东高速,北京首钢,主场·济南体育馆,胜,107,88,39,24,7,6,37.2,76.5,5248
