交易日期,股票代码,股票名称,开盘价,收盘价,最高价,最低价,成交量,成交额
2024-03-05,600519,贵州茅台,1060.89,1065.18,1074.76,1056.51,362328,38594.3
2024-03-06,600519,贵州茅台,1044.74,1055.17,1079.25,1038.93,7171827,756750.13
2024-03-07,600519,贵州茅台,1049.84,1040.47,1053.23,1035.45,2086952,217140.2
2024-03-08,600519,贵州茅台,1058.13,1066.64,1084.47,1049.26,1321650,140973.0
2024-03-11,600519,贵州茅台,1035.55,1035.38,1045.29,1031.1,1288347,133392.65
2024-03-12,600519,贵州茅台,1021.76,1009.82,1028.18,1009.55,4939242,498772.76
2024-03-13,600519,贵州茅台,1000.71,980.98,1002.91,976.31,1111403,109025.91
2024-03-14,600519,贵州茅台,1034.06,1004.19,1049.5,998.05,8931593,896900.44
2024-03-15,600519,贵州茅台,985.73,979.98,1011.31,979.07,7937457,777857.51
2024-03-18,600519,贵州茅台,1012.89,1035.61,1048.85,1002.75,8779322,909194.24
2024-03-19,600519,贵州茅台,1059.53,1082.17,1085.84,1053.06,6661643,720899.82
2024-03-20,600519,贵州茅台,1095.02,1087.23,1109.7,1072.21,6253608,679910.26
2024-03-21,600519,贵州茅台,1083.64,1084.17,1086.96,1081.25,8816134,955820.59
2024-03-22,600519,贵州茅台,1123.51,1133.79,1137.42,1123.3,7055855,799982.49
2024-03-25,600519,贵州茅台,1145.93,1138.66,1154.41,1134.27,5693813,648332.72
2024-03-26,600519,贵州茅台,1117.66,1146.58,1152.25,1107.69,7099147,813970.65
2024-03-27,600519,贵州茅台,1175.83,1194.04,1217.01,1164.63,7855628,937993.99
2024-03-28,600519,贵州茅台,1210.22,1220.89,1239.99,1191.23,6626474,809017.34
2024-03-29,600519,贵州茅台,1206.69,1205.43,1220.97,1200.79,1588221,191448.22
2024-04-01,600519,贵州茅台,1220.26,1223.53,1234.65,1205.19,2733719,334479.71
2024-04-02,600519,贵州茅台,1223.23,1215.77,1224.41,1196.14,724559,88089.97
2024-04-03,600519,贵州茅台,1226.66,1212.25,1250.33,1205.3,6195012,750988.52
2024-04-04,600519,贵州茅台,1222.67,1212.95,1228.77,1208.83,4095705,496788.23
2024-04-05,600519,贵州茅台,1217.11,1227.92,1232.63,1204.6,3460408,424911.96
2024-04-08,600519,贵州茅台,1239.2,1224.15,1262.83,1203.42,6848847,838400.84
2024-04-09,600519,贵州茅台,1247.82,1257.56,1285.28,1242.47,7999405,1005973.75
2024-04-10,600519,贵州茅台,1298.69,1287.45,1302.52,1285.06,1919073,247071.32
2024-04-11,600519,贵州茅台,1279.27,1306.59,1325.07,1278.9,8709707,1138004.25
2024-04-12,600519,贵州茅台,1308.12,1334.33,1347.34,1303.29,3411784,455244.38
2024-04-15,600519,贵州茅台,1315.99,1310.2,1321.85,1303.23,8895610,1165503.57
2024-04-16,600519,贵州茅台,1260.93,1263.91,1263.93,1247.47,4512176,570296.43
2024-04-17,600519,贵州茅台,1247.75,1298.93,1310.27,1240.72,9618857,1249423.92
2024-04-18,600519,贵州茅台,1317.25,1318.44,1325.11,1315.82,226259,29830.98
2024-04-19,600519,贵州茅台,1243.32,1219.32,1248.89,1215.2,2125558,259172.49
2024-04-22,600519,贵州茅台,1222.24,1212.41,1225.71,1206.64,5349534,648580.63
2024-04-23,600519,贵州茅台,1172.66,1183.63,1205.0,1158.61,9901817,1172009.31
2024-04-24,600519,贵州茅台,1168.53,1165.48,1178.97,1165.08,233407,27203.04
2024-04-25,600519,贵州茅台,1147.03,1135.11,1162.41,1125.57,630901,71614.04
2024-04-26,600519,贵州茅台,1126.67,1122.44,1129.96,1119.3,8756521,982869.28
2024-04-29,600519,贵州茅台,1126.26,1118.41,1135.81,1115.97,1303307,145763.6
2024-04-30,600519,贵州茅台,1086.11,1078.9,1090.13,1076.42,2040929,220196.23
2024-01-02,000858,五粮液,1074.39,1042.85,1089.07,1036.96,7534462,785734.15
2024-01-03,000858,五粮液,1059.93,1061.19,1076.41,1041.49,9756773,1035383.75
2024-01-04,000858,五粮液,1056.33,1070.55,1075.8,1048.61,3270663,350139.84
2024-01-05,000858,五粮液,1101.05,1102.49,1113.17,1099.93,1379938,152136.46
2024-01-08,000858,五粮液,1115.6,1128.68,1129.27,1103.94,8732908,985662.74
2024-01-09,000858,五粮液,1123.59,1127.95,1134.01,1109.55,3420938,385864.93
2024-01-10,000858,五粮液,1149.68,1167.31,1174.15,1148.6,7567870,883405.58
2024-01-11,000858,五粮液,1112.28,1103.81,1135.93,1103.46,4635211,511638.37
2024-01-12,000858,五粮液,1127.52,1100.96,1130.47,1098.89,6446374,709720.09
2024-01-15,000858,五粮液,1118.11,1139.83,1141.68,1104.74,4553293,518998.1
2024-01-16,000858,五粮液,1130.33,1121.88,1138.95,1108.68,295507,33152.21
2024-01-17,000858,五粮液,1092.37,1119.65,1122.65,1077.92,7405626,829173.65
2024-01-18,000858,五粮液,1133.45,1139.68,1155.24,1126.85,3016561,343791.47
2024-01-19,000858,五粮液,1155.61,1171.19,1188.84,1149.98,741800,86878.7
2024-01-22,000858,五粮液,1192.66,1196.38,1212.49,1170.62,4135702,494785.68
2024-01-23,000858,五粮液,1218.14,1207.6,1219.39,1198.63,6016645,726568.42
2024-01-24,000858,五粮液,1191.57,1197.83,1210.41,1186.01,8440169,1010988.88
2024-01-25,000858,五粮液,1182.02,1176.23,1203.3,1168.44,1044545,122862.35
2024-01-26,000858,五粮液,1163.44,1140.94,1166.95,1137.19,8203974,936021.94
2024-01-29,000858,五粮液,1131.24,1136.54,1144.61,1117.55,5603194,636824.12
2024-01-30,000858,五粮液,1161.99,1155.52,1170.12,1151.58,9400582,1086255.99
2024-01-31,000858,五粮液,1166.11,1162.15,1171.13,1138.8,568897,66114.08
2024-02-01,000858,五粮液,1134.54,1142.15,1145.76,1129.06,2028347,231667.63
2024-02-02,000858,五粮液,1151.01,1155.0,1158.56,1138.68,9620721,1111191.8
2024-02-05,000858,五粮液,1142.87,1122.33,1144.74,1112.41,6376839,715694.58
2024-02-06,000858,五粮液,1140.68,1140.0,1151.32,1120.83,6522472,743564.54
2024-02-07,000858,五粮液,1133.56,1142.81,1148.0,1113.53,5210662,595477.52
2024-02-08,000858,五粮液,1168.91,1173.63,1187.12,1150.51,6456687,757778.55
2024-02-09,000858,五粮液,1159.19,1155.43,1166.17,1142.71,6328556,731223.07
2024-02-12,000858,五粮液,1153.14,1130.29,1169.08,1129.61,2583587,292019.2
2024-02-13,000858,五粮液,1138.56,1117.57,1161.77,1105.31,1859144,207772.42
2024-02-14,000858,五粮液,1139.28,1115.25,1158.55,1106.37,2080413,232017.46
2024-02-15,000858,五粮液,1133.05,1133.09,1138.78,1127.37,8455687,958109.17
2024-02-16,000858,五粮液,1114.02,1129.55,1137.81,1098.23,8506834,960892.93
2024-02-19,000858,五粮液,1102.99,1092.06,1106.33,1086.07,8138341,888759.34
2024-02-20,000858,五粮液,1086.85,1063.92,1087.68,1047.99,7732187,822640.21
2024-02-21,000858,五粮液,1061.64,1073.34,1089.04,1060.18,9886189,1061125.78
2024-02-22,000858,五粮液,1044.77,1080.82,1089.74,1040.68,4391484,474639.61
2024-02-23,000858,五粮液,1076.13,1076.58,1077.42,1068.67,2737023,294663.08
2024-02-26,000858,五粮液,1085.82,1105.1,1111.21,1084.88,8503672,939737.79
2024-02-27,000858,五粮液,1105.5,1099.78,1108.01,1093.27,1507296,165769.71
2024-02-28,000858,五粮液,1130.38,1121.37,1140.54,1099.94,7916584,887742.76
2024-02-29,000858,五粮液,1127.75,1110.37,1145.8,1103.42,8257551,916892.02
2024-03-01,000858,五粮液,1144.91,1144.79,1149.47,1128.94,1082207,123890.29
2024-03-04,000858,五粮液,1132.62,1100.63,1149.87,1100.43,6149655,676846.91
2024-03-05,000858,五粮液,1106.96,1123.39,1132.73,1104.7,546295,61370.36
2024-03-06,000858,五粮液,1103.23,1084.91,1114.35,1081.86,8982074,974469.97
2024-03-07,000858,五粮液,1087.7,1087.8,1093.71,1078.9,5252903,571413.19
2024-03-08,000858,五粮液,1091.07,1085.36,1101.94,1082.15,4213942,457364.79
2024-03-11,000858,五粮液,1084.51,1091.8,1106.22,1080.32,4444899,485293.83
2024-03-12,000858,五粮液,1095.13,1111.67,1126.19,1089.14,3737310,415466.51
2024-03-13,000858,五粮液,1100.17,1087.14,1110.9,1082.55,331360,36023.59
2024-03-14,000858,五粮液,1089.21,1082.65,1093.19,1076.61,899800,97416.42
2024-03-15,000858,五粮液,1061.33,1029.58,1067.64,1023.91,955327,98359.02
2024-03-18,000858,五粮液,1034.77,1029.42,1049.55,1021.06,5629339,579497.16
2024-03-19,000858,五粮液,1006.97,1002.5,1020.48,993.6,4589191,460064.76
2024-03-20,000858,五粮液,1007.28,1021.73,1036.85,1004.92,3145313,321367.33
2024-03-21,000858,五粮液,1006.3,1003.09,1009.34,987.17,6478131,649814.05
2024-03-22,000858,五粮液,1021.58,1012.46,1025.48,999.28,148720,15057.3
2024-03-25,000858,五粮液,986.04,1020.01,1034.33,976.33,6399633,652767.65
2024-03-26,000858,五粮液,1038.5,1041.31,1051.27,1032.37,5827288,606801.12
2024-03-27,000858,五粮液,1069.16,1071.89,1084.92,1059.99,1163205,124682.42
2024-03-28,000858,五粮液,1075.28,1050.42,1081.95,1033.73,7679375,806656.79
2024-03-29,000858,五粮液,1051.55,1028.43,1057.97,1024.45,5814700,598003.91
2024-04-01,000858,五粮液,1017.64,1017.7,1019.94,1010.21,2128366,216603.39
2024-04-02,000858,五粮液,1022.81,1004.66,1025.78,990.47,290701,29205.63
2024-04-03,000858,五粮液,985.1,974.43,994.78,966.87,2459203,239631.5
2024-04-04,000858,五粮液,959.38,982.24,988.36,953.61,9488817,932029.24
2024-04-05,000858,五粮液,1001.62,981.11,1021.19,980.43,8749649,858439.5
2024-04-08,000858,五粮液,960.25,939.02,960.53,935.88,8261090,775734.64
2024-04-09,000858,五粮液,923.81,932.01,937.31,918.11,6224277,580106.61
2024-04-10,000858,五粮液,914.85,917.74,926.18,901.5,4467757,410022.5
2024-04-11,000858,五粮液,931.02,938.43,948.5,929.94,5865102,550399.02
2024-04-12,000858,五粮液,930.16,927.23,931.77,920.26,5612861,520442.37
2024-04-15,000858,五粮液,905.18,909.61,917.9,902.37,7383450,671606.81
2024-04-16,000858,五粮液,922.51,921.88,924.16,921.57,5269501,485787.21
2024-04-17,000858,五粮液,897.74,902.13,903.23,891.12,5836093,526492.67
2024-04-18,000858,五粮液,869.24,854.65,880.12,846.82,5790702,494900.62
2024-04-19,000858,五粮液,880.02,860.75,887.96,849.34,7373668,634691.04
2024-04-22,000858,五粮液,859.01,876.8,877.17,849.22,7163240,628071.42
2024-04-23,000858,五粮液,859.3,873.59,889.67,853.33,8780530,767054.61
2024-04-24,000858,五粮液,887.24,897.83,903.7,884.66,7661011,687827.76
2024-04-25,000858,五粮液,895.0,903.06,921.21,877.36,3208958,289787.83
2024-04-26,000858,五粮液,900.2,885.92,901.64,878.05,8766777,776670.18
2024-04-29,000858,五粮液,890.01,883.12,895.22,875.78,8661834,764947.24
2024-04-30,000858,五粮液,870.93,850.22,877.74,848.46,2489905,211697.51
2024-01-02,002594,比亚迪,139.99,136.4,140.6,133.02,7437827,101454.0
2024-01-03,002594,比亚迪,130.63,128.77,133.77,127.82,9579955,123358.36
2024-01-04,002594,比亚迪,125.86,126.34,127.22,125.36,4562571,57642.01
2024-01-05,002594,比亚迪,124.29,127.94,128.69,122.27,8868757,113464.88
2024-01-08,002594,比亚迪,127.5,126.09,127.73,124.85,1369343,17265.85
2024-01-09,002594,比亚迪,123.16,121.81,124.28,120.96,8999292,109623.8
2024-01-10,002594,比亚迪,123.63,124.33,124.4,122.71,5497005,68346.45
2024-01-11,002594,比亚迪,122.48,119.25,123.03,118.65,8641631,103048.2
2024-01-12,002594,比亚迪,120.51,120.84,121.07,120.49,5472654,66133.03
2024-01-15,002594,比亚迪,122.4,123.94,125.97,121.17,1065098,13200.51
2024-01-16,002594,比亚迪,118.55,119.43,120.2,117.74,6521172,77881.13
2024-01-17,002594,比亚迪,119.41,123.14,124.35,119.02,6024549,74188.49
2024-01-18,002594,比亚迪,121.59,121.29,122.87,120.91,2796314,33915.12
2024-01-19,002594,比亚迪,122.78,121.06,125.1,119.24,5650843,68407.0
2024-01-22,002594,比亚迪,122.99,121.05,123.42,121.01,4722410,57165.67
2024-01-23,002594,比亚迪,118.68,117.59,118.87,115.61,2327995,27375.9
2024-01-24,002594,比亚迪,115.15,115.98,117.12,113.96,5036442,58410.91
2024-01-25,002594,比亚迪,116.37,115.99,116.67,115.85,7299768,84669.55
2024-01-26,002594,比亚迪,113.56,116.53,116.59,113.23,5991393,69815.05
2024-01-29,002594,比亚迪,115.3,113.01,117.44,112.34,3655090,41307.1
2024-01-30,002594,比亚迪,113.69,113.8,114.31,112.94,9851405,112104.55
2024-01-31,002594,比亚迪,116.55,116.18,117.38,115.55,3545632,41193.97
2024-02-01,002594,比亚迪,116.28,117.07,117.65,115.27,9641939,112878.4
2024-02-02,002594,比亚迪,119.34,121.54,124.29,119.07,7706436,93662.61
2024-02-05,002594,比亚迪,125.24,125.75,127.72,124.49,9503024,119501.74
2024-02-06,002594,比亚迪,126.42,125.71,128.67,124.0,1169077,14696.38
2024-02-07,002594,比亚迪,122.81,120.52,123.2,120.47,3910004,47124.79
2024-02-08,002594,比亚迪,120.68,120.3,122.02,118.99,1950170,23460.67
2024-02-09,002594,比亚迪,114.84,113.36,115.46,112.72,8992812,101940.98
2024-02-12,002594,比亚迪,114.27,113.89,116.29,111.66,3061936,34872.09
2024-02-13,002594,比亚迪,113.32,114.07,114.57,112.47,3714773,42376.09
2024-02-14,002594,比亚迪,112.45,112.15,113.39,111.89,9011523,101065.43
2024-02-15,002594,比亚迪,112.34,112.2,112.91,110.88,1174198,13174.32
2024-02-16,002594,比亚迪,111.91,110.31,112.87,109.82,967891,10677.13
2024-02-19,002594,比亚迪,108.28,106.57,108.79,105.29,8416851,89694.96
2024-02-20,002594,比亚迪,102.99,103.35,104.65,102.57,5217499,53924.94
2024-02-21,002594,比亚迪,100.11,100.44,101.91,97.39,7131034,71621.85
2024-02-22,002594,比亚迪,97.81,97.47,99.83,97.14,3781246,36855.66
2024-02-23,002594,比亚迪,94.35,94.82,95.59,92.92,177332,1681.39
2024-02-26,002594,比亚迪,94.4,95.69,96.3,94.06,445184,4259.81
2024-02-27,002594,比亚迪,101.29,101.65,102.43,100.2,6880231,69936.03
2024-02-28,002594,比亚迪,99.64,101.69,102.72,99.61,8348121,84890.83
2024-02-29,002594,比亚迪,100.86,99.96,101.28,99.82,5805713,58032.94
2024-03-01,002594,比亚迪,97.72,97.34,98.78,97.32,2557806,24896.41
2024-03-04,002594,比亚迪,94.35,94.87,95.17,93.83,7651209,72590.56
2024-03-05,002594,比亚迪,94.57,95.42,95.55,93.66,327977,3129.65
2024-03-06,002594,比亚迪,97.88,98.83,99.31,97.31,2480421,24513.45
2024-03-07,002594,比亚迪,94.9,94.93,95.27,93.57,8607841,81714.88
2024-03-08,002594,比亚迪,95.47,95.3,95.49,94.95,4715743,44939.75
2024-03-11,002594,比亚迪,93.92,95.92,96.11,93.55,2777636,26644.13
2024-03-12,002594,比亚迪,93.53,92.39,94.37,92.13,4746523,43852.3
2024-03-13,002594,比亚迪,88.21,88.63,88.98,88.13,7193727,63755.39
2024-03-14,002594,比亚迪,86.33,88.51,89.08,85.92,9443789,83589.33
2024-03-15,002594,比亚迪,89.54,88.14,89.93,88.08,2565254,22609.21
2024-03-18,002594,比亚迪,87.46,87.05,87.6,86.34,9857946,85810.44
2024-03-19,002594,比亚迪,87.96,88.78,88.79,87.79,5333643,47349.85
2024-03-20,002594,比亚迪,89.85,89.84,90.11,88.1,2702562,24279.52
2024-03-21,002594,比亚迪,91.93,92.63,92.97,91.58,4364991,40433.52
2024-03-22,002594,比亚迪,95.46,96.9,97.29,93.23,2764639,26789.05
2024-03-25,002594,比亚迪,99.65,100.06,100.45,98.06,8963441,89685.4
2024-03-26,002594,比亚迪,98.49,99.25,99.57,98.16,3065632,30425.15
2024-03-27,002594,比亚迪,96.88,96.54,98.0,95.72,9456911,91301.1
2024-03-28,002594,比亚迪,98.81,101.92,103.9,98.39,2903943,29596.07
2024-03-29,002594,比亚迪,102.96,101.47,103.2,100.17,3791689,38473.05
2024-04-01,002594,比亚迪,99.78,99.96,100.74,98.92,522994,5227.92
2024-04-02,002594,比亚迪,98.35,99.25,100.11,97.7,7161964,71083.39
2024-04-03,002594,比亚迪,100.85,102.56,104.68,100.6,6066800,62223.59
2024-04-04,002594,比亚迪,104.32,104.44,105.4,103.18,3951910,41274.97
2024-04-05,002594,比亚迪,102.55,105.46,105.62,102.34,4158518,43856.63
2024-04-08,002594,比亚迪,105.04,103.27,105.52,101.2,7385315,76265.46
2024-04-09,002594,比亚迪,105.71,104.72,107.1,103.46,6099410,63875.6
2024-04-10,002594,比亚迪,105.29,102.88,105.43,102.0,9326377,95954.1
2024-04-11,002594,比亚迪,98.79,99.63,99.69,98.2,1937993,19309.0
2024-04-12,002594,比亚迪,97.66,98.04,100.27,97.63,1027510,10074.16
2024-04-15,002594,比亚迪,99.36,100.84,102.03,98.25,6375178,64288.74
2024-04-16,002594,比亚迪,99.37,97.18,99.46,97.13,5999128,58297.58
2024-04-17,002594,比亚迪,99.52,98.64,101.28,96.44,3604179,35553.18
2024-04-18,002594,比亚迪,94.97,96.34,97.33,94.21,6113753,58899.26
2024-04-19,002594,比亚迪,99.09,100.42,100.5,98.97,3836029,38520.06
2024-04-22,002594,比亚迪,99.64,100.35,101.23,98.96,3444181,34562.03
2024-04-23,002594,比亚迪,100.16,99.75,102.03,99.69,1262108,12589.39
2024-04-24,002594,比亚迪,99.33,99.04,101.18,97.68,9171245,90832.06
2024-04-25,002594,比亚迪,97.7,100.18,102.18,95.58,4071792,40792.43
2024-04-26,002594,比亚迪,100.41,100.12,101.69,99.9,2980729,29843.0
2024-04-29,002594,比亚迪,99.83,100.78,101.98,99.31,3189675,32145.84
2024-04-30,002594,比亚迪,99.9,98.66,100.51,98.08,4408368,43494.68
2024-01-02,300750,宁德时代,841.45,822.62,847.76,809.78,4128054,339580.79
2024-01-03,300750,宁德时代,831.16,844.58,848.37,825.33,1938042,163683.92
2024-01-04,300750,宁德时代,853.64,863.54,872.62,850.73,945377,81637.47
2024-01-05,300750,宁德时代,863.6,878.97,887.66,859.36,9856659,866368.73
2024-01-08,300750,宁德时代,896.56,879.09,899.83,873.96,7257506,637997.09
2024-01-09,300750,宁德时代,859.56,866.95,869.6,859.32,5460593,473406.51
2024-01-10,300750,宁德时代,847.95,867.89,874.38,844.4,8770202,761155.53
2024-01-11,300750,宁德时代,828.78,810.24,840.63,808.14,5954572,482465.39
2024-01-12,300750,宁德时代,781.25,783.5,795.8,780.26,5827961,456621.09
2024-01-15,300750,宁德时代,768.63,762.62,770.32,756.88,9527575,726589.32
2024-01-16,300750,宁德时代,750.86,734.11,751.51,724.95,2895317,212547.24
2024-01-17,300750,宁德时代,738.53,762.43,777.21,737.59,5974900,455543.15
2024-01-18,300750,宁德时代,765.62,754.57,765.62,753.85,3837644,289576.77
2024-01-19,300750,宁德时代,736.65,749.21,756.29,727.85,8393081,628818.91
2024-01-22,300750,宁德时代,776.5,776.39,781.57,768.43,9923687,770460.63
2024-01-23,300750,宁德时代,755.53,744.81,764.07,744.58,7306009,544155.42
2024-01-24,300750,宁德时代,743.24,736.11,753.61,722.94,4520047,332726.52
2024-01-25,300750,宁德时代,748.43,735.42,753.87,734.76,3699696,272081.21
2024-01-26,300750,宁德时代,732.34,724.76,742.67,715.36,8132835,589438.07
2024-01-29,300750,宁德时代,704.62,712.63,721.37,692.1,8901721,634366.86
2024-01-30,300750,宁德时代,709.38,719.02,720.12,708.8,7732959,556016.48
2024-01-31,300750,宁德时代,730.71,735.03,735.12,724.63,5296816,389333.26
2024-02-01,300750,宁德时代,742.27,747.45,756.08,733.82,9861952,737130.58
2024-02-02,300750,宁德时代,737.15,739.65,750.88,735.03,2333355,172586.38
2024-02-05,300750,宁德时代,724.24,715.09,733.42,709.19,2403275,171856.48
2024-02-06,300750,宁德时代,721.26,719.73,729.99,715.57,2463488,177305.21
2024-02-07,300750,宁德时代,707.84,713.8,717.14,702.43,257044,18347.84
2024-02-08,300750,宁德时代,717.53,721.83,726.45,710.24,7132457,514839.8
2024-02-09,300750,宁德时代,717.78,722.75,723.54,709.63,8744680,632024.24
2024-02-12,300750,宁德时代,718.46,710.99,722.2,702.16,1155677,82167.63
2024-02-13,300750,宁德时代,715.37,729.12,742.9,712.36,7417994,540861.62
2024-02-14,300750,宁德时代,734.58,721.15,738.14,713.15,6881076,496228.02
2024-02-15,300750,宁德时代,741.1,754.61,755.41,738.64,3485162,262993.57
2024-02-16,300750,宁德时代,725.97,732.15,734.76,711.05,9094456,665853.11
2024-02-19,300750,宁德时代,738.71,744.86,749.2,737.01,8349152,621894.93
2024-02-20,300750,宁德时代,760.62,763.42,771.8,754.82,519794,39682.28
2024-02-21,300750,宁德时代,764.67,779.25,787.73,754.32,6763054,527008.21
2024-02-22,300750,宁德时代,768.38,776.91,784.62,764.82,5652451,439142.76
2024-02-23,300750,宁德时代,796.36,802.68,804.33,787.43,1927346,154704.11
2024-02-26,300750,宁德时代,819.64,814.64,820.0,802.76,9324289,759595.65
2024-02-27,300750,宁德时代,819.08,810.53,822.12,802.1,2439326,197715.53
2024-02-28,300750,宁德时代,805.47,782.86,811.03,772.14,9653109,755698.84
2024-02-29,300750,宁德时代,788.58,792.6,797.38,786.37,9369988,742662.04
2024-03-01,300750,宁德时代,809.67,811.7,816.82,804.9,5258198,426806.9
2024-03-04,300750,宁德时代,812.11,807.51,812.89,795.76,6233401,503353.81
2024-03-05,300750,宁德时代,784.22,783.4,796.28,777.65,1952978,152995.66
2024-03-06,300750,宁德时代,829.83,821.2,838.56,817.05,1275471,104741.59
2024-03-07,300750,宁德时代,824.33,828.05,840.03,820.99,8078304,668922.88
2024-03-08,300750,宁德时代,841.03,852.73,866.41,836.67,5776448,492575.9
2024-03-11,300750,宁德时代,848.41,835.36,857.54,829.28,4993864,417168.66
2024-03-12,300750,宁德时代,832.35,815.26,838.12,813.03,3570150,291059.64
2024-03-13,300750,宁德时代,835.67,849.14,853.61,834.61,5174251,439366.59
2024-03-14,300750,宁德时代,875.76,881.77,887.34,856.85,3470116,305984.02
2024-03-15,300750,宁德时代,861.71,865.68,869.84,835.47,7291611,631221.95
2024-03-18,300750,宁德时代,894.9,899.0,918.86,890.17,8360772,751635.34
2024-03-19,300750,宁德时代,934.96,936.01,947.68,919.71,1052602,98524.44
2024-03-20,300750,宁德时代,930.86,932.17,945.9,915.48,8525288,794704.6
2024-03-21,300750,宁德时代,935.8,928.82,936.31,924.72,9411417,874150.26
2024-03-22,300750,宁德时代,919.26,918.6,928.62,916.14,2530929,232491.01
2024-03-25,300750,宁德时代,915.84,902.2,926.95,875.04,9536728,860400.83
2024-03-26,300750,宁德时代,861.18,861.25,861.55,856.88,2623517,225949.52
2024-03-27,300750,宁德时代,799.09,790.2,807.07,783.27,8997174,710955.2
2024-03-28,300750,宁德时代,780.92,789.52,789.59,772.18,6655706,525479.63
2024-03-29,300750,宁德时代,772.92,756.34,778.09,748.51,2886655,218329.55
2024-04-01,300750,宁德时代,780.34,772.27,785.69,768.03,1738487,134258.59
2024-04-02,300750,宁德时代,763.5,772.35,778.35,758.46,7633006,589538.89
2024-04-03,300750,宁德时代,765.67,780.25,790.36,763.51,2792787,217907.97
2024-04-04,300750,宁德时代,774.76,772.94,777.74,766.65,2712705,209676.87
