日期,路段名称,方向,车道数,车流量(辆/h),平均车速(km/h),拥堵指数,天气状况,温度(℃),是否高峰期
2024-04-07,解放大街,出城方向,3,4450,15,8.9,小雨,8.6,是
2024-01-05,环城高速北段,进城方向,6,2272,59.4,3.6,晴,26.3,否
2024-01-30,滨江大道,出城方向,4,1540,62.8,3.4,晴,30.3,否
2024-04-02,人民路,进城方向,3,2498,34.1,6.2,阴,15.9,是
2024-03-20,建设大街,出城方向,4,1985,47.8,4.2,多云,23.0,否
2024-02-19,环城高速南段,进城方向,6,3362,49.9,4.1,多云,16.5,否
2024-03-06,迎宾大道,出城方向,2,3480,15.1,8.1,晴,34.3,是
2024-06-09,中山路,进城方向,4,2049,55.4,4.3,小雨,16.9,否
2024-06-08,解放大街,出城方向,3,1069,59.4,3.0,雾,7.7,否
2024-01-15,环城高速北段,进城方向,6,1473,61.8,2.9,小雨,9.1,否
2024-01-24,滨江大道,出城方向,4,2033,55.4,4.1,小雨,19.3,否
2024-06-15,人民路,进城方向,3,4447,15,8.1,多云,16.6,是
2024-03-28,建设大街,出城方向,4,3804,25.9,6.9,小雨,15.3,是
2024-02-10,环城高速南段,进城方向,6,2062,63.4,3.3,多云,15.8,否
2024-06-10,迎宾大道,出城方向,2,1115,50.4,4.3,晴,30.9,否
2024-06-17,中山路,进城方向,4,3264,30.5,5.9,多云,29.5,是
2024-06-27,解放大街,出城方向,3,2127,36.0,5.5,晴,29.7,否
2024-03-25,环城高速北段,进城方向,6,6461,21.3,7.8,雾,11.5,是
2024-04-18,滨江大道,出城方向,4,1691,60.7,3.5,晴,31.5,否
2024-02-19,人民路,进城方向,3,2483,36.9,5.8,晴,31.6,是
2024-05-14,建设大街,出城方向,4,4106,23.2,7.1,雾,6.8,是
2024-06-26,环城高速南段,进城方向,6,3066,53.5,4.7,雪,-0.1,是
2024-04-24,迎宾大道,出城方向,2,2320,15,8.6,小雨,13.1,是
2024-05-26,中山路,进城方向,4,1660,55.8,3.3,小雨,10.8,否
2024-06-03,解放大街,出城方向,3,2687,33.4,6.7,多云,16.5,是
2024-05-12,环城高速北段,进城方向,6,4590,34.7,6.2,多云,17.2,是
2024-04-21,滨江大道,出城方向,4,5064,16.8,8.4,多云,20.9,是
2024-04-05,人民路,进城方向,3,2546,27.5,6.7,阴,22.6,是
2024-06-15,建设大街,出城方向,4,1211,67.1,2.9,晴,32.5,否
2024-06-29,环城高速南段,进城方向,6,1738,61.3,3.1,小雨,15.7,否
2024-06-04,迎宾大道,出城方向,2,1134,44.3,4.3,晴,29.6,否
2024-06-08,中山路,进城方向,4,1639,56.9,3.6,晴,29.5,否
2024-05-27,解放大街,出城方向,3,1601,48.5,4.4,雪,-3.5,是
2024-06-20,环城高速北段,进城方向,6,3846,44.0,5.5,小雨,15.8,是
2024-04-09,滨江大道,出城方向,4,2148,48.5,4.6,晴,25.4,否
2024-01-18,人民路,进城方向,3,2164,42.1,5.7,多云,20.0,否
2024-01-12,建设大街,出城方向,4,1668,59.3,3.6,小雨,17.7,否
2024-06-10,环城高速南段,进城方向,6,4444,42.8,5.2,晴,23.0,是
2024-02-21,迎宾大道,出城方向,2,2965,17.4,8.5,多云,18.8,是
2024-06-14,中山路,进城方向,4,4660,15,8.4,多云,19.1,是
2024-04-04,解放大街,出城方向,3,1997,41.4,5.6,阴,17.4,否
2024-05-07,环城高速北段,进城方向,6,2173,55.4,3.4,小雨,19.5,否
2024-05-19,滨江大道,出城方向,4,1191,64.9,2.7,多云,24.0,否
2024-04-19,人民路,进城方向,3,2262,41.3,5.6,雪,3.0,是
2024-03-11,建设大街,出城方向,4,5479,15,8.8,晴,30.2,是
2024-01-08,环城高速南段,进城方向,6,4183,36.5,5.6,大雨,9.8,是
2024-04-08,迎宾大道,出城方向,2,2017,22.0,7.6,大雨,12.5,是
2024-05-15,中山路,进城方向,4,1862,51.3,3.5,阴,21.0,否
2024-05-07,解放大街,出城方向,3,933,62.0,3.4,小雨,12.0,否
2024-05-05,环城高速北段,进城方向,6,4926,33.3,6.5,晴,26.7,是
2024-01-23,滨江大道,出城方向,4,1728,53.6,3.5,雾,6.6,否
2024-06-28,人民路,进城方向,3,3745,17.4,8.8,多云,18.6,是
2024-05-06,建设大街,出城方向,4,4940,15,9.0,多云,16.9,是
2024-01-23,环城高速南段,进城方向,6,6229,23.8,7.5,多云,26.5,是
2024-05-27,迎宾大道,出城方向,2,3122,15,8.7,晴,25.2,是
2024-05-21,中山路,进城方向,4,4400,21.8,8.2,晴,27.8,是
2024-03-18,解放大街,出城方向,3,4039,15,8.9,晴,27.8,是
2024-03-13,环城高速北段,进城方向,6,4812,35.4,5.6,多云,19.5,是
2024-05-16,滨江大道,出城方向,4,4255,16.7,7.8,小雨,18.1,是
2024-06-03,人民路,进城方向,3,761,61.2,2.7,大雨,12.5,否
2024-06-15,建设大街,出城方向,4,2739,45.4,5.3,大雨,13.3,是
2024-03-18,环城高速南段,进城方向,6,2672,54.5,4.0,多云,17.4,否
2024-04-16,迎宾大道,出城方向,2,874,59.0,3.6,小雨,21.8,否
2024-03-29,中山路,进城方向,4,1854,50.0,3.6,晴,21.8,否
2024-04-25,解放大街,出城方向,3,2285,41.6,6.1,晴,26.3,是
2024-02-10,环城高速北段,进城方向,6,1971,61.5,3.1,大雨,11.5,否
2024-03-19,滨江大道,出城方向,4,1664,56.7,4.1,晴,23.2,否
2024-03-31,人民路,进城方向,3,3353,21.0,8.1,晴,27.1,是
2024-05-17,建设大街,出城方向,4,3822,23.9,6.8,晴,26.0,是
2024-01-12,环城高速南段,进城方向,6,2664,53.7,3.6,晴,25.8,否
2024-04-25,迎宾大道,出城方向,2,1221,41.6,4.7,大雨,17.8,否
2024-05-22,中山路,进城方向,4,1645,55.9,3.1,晴,20.6,否
2024-03-26,解放大街,出城方向,3,1405,50.1,4.4,小雨,12.5,否
2024-04-10,环城高速北段,进城方向,6,1577,65.1,2.7,大雨,11.2,否
2024-01-05,滨江大道,出城方向,4,1948,51.8,3.9,多云,28.5,否
2024-06-25,人民路,进城方向,3,2702,34.1,6.7,大雨,8.0,是
2024-01-14,建设大街,出城方向,4,2187,50.4,4.8,晴,22.2,否
2024-06-23,环城高速南段,进城方向,6,6836,15,7.6,晴,24.7,是
2024-02-08,迎宾大道,出城方向,2,827,60.9,4.0,雪,0.9,否
2024-01-16,中山路,进城方向,4,3502,30.5,6.3,小雨,21.4,是
2024-04-27,解放大街,出城方向,3,1585,52.1,4.6,小雨,11.7,否
2024-05-03,环城高速北段,进城方向,6,4980,30.6,6.7,多云,19.5,是
2024-03-14,滨江大道,出城方向,4,3703,28.5,7.2,雪,0.8,是
2024-03-14,人民路,进城方向,3,3744,15,8.3,大雨,15.0,是
2024-02-07,建设大街,出城方向,4,2029,47.3,4.6,晴,29.8,否
2024-05-02,环城高速南段,进城方向,6,5317,30.8,6.3,多云,16.6,是
2024-05-30,迎宾大道,出城方向,2,2167,19.4,7.9,多云,15.8,是
2024-04-15,中山路,进城方向,4,1266,57.2,3.0,雪,2.4,否
2024-04-14,解放大街,出城方向,3,1702,46.3,4.7,小雨,20.7,否
2024-01-23,环城高速北段,进城方向,6,5816,29.7,7.0,小雨,19.7,是
2024-01-10,滨江大道,出城方向,4,1730,59.9,4.1,小雨,8.1,否
2024-05-25,人民路,进城方向,3,3315,19.3,7.9,多云,28.3,是
2024-02-04,建设大街,出城方向,4,1764,53.5,4.0,多云,24.7,否
2024-02-17,环城高速南段,进城方向,6,3998,45.1,4.8,雪,1.8,是
2024-04-13,迎宾大道,出城方向,2,997,48.8,3.8,小雨,12.5,否
2024-03-04,中山路,进城方向,4,3830,28.7,7.4,多云,19.5,是
2024-05-26,解放大街,出城方向,3,4423,15,8.7,多云,22.0,是
2024-02-10,环城高速北段,进城方向,6,2723,57.2,4.0,雾,11.4,否
2024-03-16,滨江大道,出城方向,4,897,63.9,2.6,大雨,12.9,否
2024-04-16,人民路,进城方向,3,2138,41.7,5.5,小雨,19.0,否
2024-05-14,建设大街,出城方向,4,2086,46.8,4.6,小雨,20.6,否
2024-02-21,环城高速南段,进城方向,6,5682,26.1,7.1,晴,30.8,是
2024-05-05,迎宾大道,出城方向,2,3292,15,8.5,小雨,8.8,是
2024-04-28,中山路,进城方向,4,956,69.0,2.6,雪,-4.6,否
2024-03-29,解放大街,出城方向,3,2419,39.0,5.6,小雨,13.7,是
2024-02-04,环城高速北段,进城方向,6,2264,62.9,3.2,多云,16.2,否
2024-06-18,滨江大道,出城方向,4,3366,31.6,5.9,雾,14.8,是
2024-01-01,人民路,进城方向,3,4236,15,8.5,多云,27.4,是
2024-03-04,建设大街,出城方向,4,1376,65.0,3.4,多云,16.7,否
2024-06-18,环城高速南段,进城方向,6,961,71.9,1.9,大雨,13.7,否
2024-01-13,迎宾大道,出城方向,2,1263,41.7,5.3,雪,-4.5,是
2024-05-08,中山路,进城方向,4,2471,46.0,5.1,多云,27.3,否
2024-03-01,解放大街,出城方向,3,2081,40.1,5.1,晴,28.4,否
2024-05-31,环城高速北段,进城方向,6,5343,34.6,7.0,雾,11.7,是
2024-05-14,滨江大道,出城方向,4,1216,59.7,2.9,雪,-3.1,否
2024-02-27,人民路,进城方向,3,1116,59.7,3.8,雪,-0.5,否
2024-02-04,建设大街,出城方向,4,1468,60.8,3.7,多云,27.7,否
2024-01-24,环城高速南段,进城方向,6,4633,37.6,5.4,晴,21.1,是
2024-05-30,迎宾大道,出城方向,2,2493,17.1,8.0,小雨,21.1,是
2024-01-31,中山路,进城方向,4,2440,42.7,5.2,多云,23.3,否
2024-03-13,解放大街,出城方向,3,1675,47.2,4.9,小雨,14.5,否
2024-04-30,环城高速北段,进城方向,6,2122,55.6,3.6,多云,26.1,否
2024-01-05,滨江大道,出城方向,4,1932,49.4,3.8,小雨,13.3,否
2024-03-03,人民路,进城方向,3,2057,44.1,5.3,小雨,18.1,否
2024-05-05,建设大街,出城方向,4,2683,39.0,5.4,晴,27.3,否
2024-05-18,环城高速南段,进城方向,6,3657,48.9,4.4,小雨,8.1,是
2024-02-05,迎宾大道,出城方向,2,3798,15,8.5,晴,20.9,是
2024-06-12,中山路,进城方向,4,1435,58.9,2.8,雾,12.2,否
2024-05-17,解放大街,出城方向,3,2049,43.3,5.6,晴,33.6,否
2024-01-28,环城高速北段,进城方向,6,3591,43.9,4.6,小雨,19.1,是
2024-01-21,滨江大道,出城方向,4,2031,56.3,3.9,阴,20.3,否
2024-01-21,人民路,进城方向,3,3629,15,8.1,晴,20.1,是
2024-02-13,建设大街,出城方向,4,3928,29.5,7.6,小雨,20.5,是
2024-01-11,环城高速南段,进城方向,6,7183,15,8.0,多云,16.1,是
2024-03-12,迎宾大道,出城方向,2,2457,15,8.1,晴,32.3,是
2024-04-11,中山路,进城方向,4,3532,31.0,6.9,多云,25.2,是
2024-05-18,解放大街,出城方向,3,1411,55.4,3.5,阴,21.2,否
2024-03-29,环城高速北段,进城方向,6,4918,29.7,6.2,晴,29.2,是
2024-06-01,滨江大道,出城方向,4,1390,63.3,3.1,多云,18.4,否
2024-05-21,人民路,进城方向,3,1430,54.8,3.6,阴,19.3,否
2024-03-04,建设大街,出城方向,4,3355,34.9,6.4,晴,31.1,是
2024-03-22,环城高速南段,进城方向,6,1496,64.1,2.4,晴,24.0,否
2024-02-03,迎宾大道,出城方向,2,3308,15,8.4,晴,20.4,是
2024-03-31,中山路,进城方向,4,4226,15.7,7.5,大雨,15.1,是
2024-05-23,解放大街,出城方向,3,2504,29.4,6.0,大雨,11.4,是
2024-01-17,环城高速北段,进城方向,6,4734,35.5,5.5,阴,13.8,是
2024-03-04,滨江大道,出城方向,4,1211,61.0,3.3,大雨,9.3,否
2024-06-07,人民路,进城方向,3,1611,52.9,4.7,多云,29.6,否
2024-02-04,建设大街,出城方向,4,2595,40.5,4.9,多云,29.5,否
2024-03-22,环城高速南段,进城方向,6,2333,60.9,3.3,雪,-2.8,否
2024-04-10,迎宾大道,出城方向,2,1487,43.2,5.3,晴,31.5,否
2024-01-07,中山路,进城方向,4,1024,67.5,2.9,雪,1.4,否
2024-04-14,解放大街,出城方向,3,1863,42.6,4.5,晴,26.3,否
2024-04-06,环城高速北段,进城方向,6,5114,32.1,6.7,小雨,17.7,是
2024-05-19,滨江大道,出城方向,4,6075,15,8.6,多云,16.3,是
2024-03-04,人民路,进城方向,3,2135,40.6,5.6,晴,29.7,否
2024-03-25,建设大街,出城方向,4,1083,62.0,2.9,晴,28.4,否
2024-06-25,环城高速南段,进城方向,6,4589,37.9,5.8,小雨,12.8,是
2024-01-07,迎宾大道,出城方向,2,1235,49.9,4.5,晴,34.1,否
2024-02-06,中山路,进城方向,4,1769,52.2,3.7,多云,22.1,否
2024-04-22,解放大街,出城方向,3,1060,63.2,2.8,多云,27.7,否
2024-06-14,环城高速北段,进城方向,6,4702,36.1,5.9,雾,8.3,是
2024-04-19,滨江大道,出城方向,4,1995,48.8,4.3,多云,20.9,否
2024-06-06,人民路,进城方向,3,3466,15,8.0,小雨,17.9,是
2024-01-17,建设大街,出城方向,4,2796,36.8,5.5,小雨,14.9,是
2024-06-12,环城高速南段,进城方向,6,1738,62.2,3.2,大雨,13.0,否
2024-06-21,迎宾大道,出城方向,2,904,50.8,3.6,大雨,7.4,否
