学校编号,学校名称,学校类型,所在城市,年级,班级数,学生人数,教师人数,师生比,平均分,及格率(%),优秀率(%),课外活动次数
SCH053,武汉市第一中学,初中,武汉,三年级,13,650,30,0.046,62.4,58.3,3.0,23
SCH054,武汉市第二中学,初中,武汉,一年级,16,880,39,0.044,64.9,65.0,8.1,8
SCH054,武汉市第二中学,初中,武汉,二年级,10,470,25,0.053,93.3,90.9,35.5,10
SCH054,武汉市第二中学,初中,武汉,三年级,6,294,14,0.048,83.7,83.0,24.6,29
SCH055,武汉市第三中学,初中,武汉,一年级,6,240,15,0.062,83.2,79.9,26.4,19
SCH055,武汉市第三中学,初中,武汉,二年级,15,720,47,0.065,65.0,68.1,3.0,17
SCH055,武汉市第三中学,初中,武汉,三年级,12,648,31,0.048,74.3,77.8,20.2,25
SCH056,武汉市第四中学,初中,武汉,一年级,8,344,15,0.044,85.2,90.0,33.7,8
SCH056,武汉市第四中学,初中,武汉,二年级,12,660,42,0.064,83.7,80.5,27.2,16
SCH056,武汉市第四中学,初中,武汉,三年级,15,600,39,0.065,90.2,92.5,40.2,20
SCH057,武汉市第一高中,高中,武汉,一年级,15,645,42,0.065,76.1,71.7,20.9,5
SCH057,武汉市第一高中,高中,武汉,二年级,19,893,61,0.068,83.4,81.8,28.3,27
SCH057,武汉市第一高中,高中,武汉,三年级,17,731,38,0.052,85.3,85.1,32.0,25
SCH058,武汉市第二高中,高中,武汉,一年级,14,616,40,0.065,79.9,84.8,19.4,25
SCH058,武汉市第二高中,高中,武汉,二年级,10,550,36,0.065,89.8,85.5,35.7,12
SCH058,武汉市第二高中,高中,武汉,三年级,13,624,25,0.04,69.1,70.5,10.0,12
SCH059,武汉市第三高中,高中,武汉,一年级,9,486,25,0.051,80.3,76.2,24.3,15
SCH059,武汉市第三高中,高中,武汉,二年级,9,495,30,0.061,62.6,61.6,3.0,22
SCH059,武汉市第三高中,高中,武汉,三年级,8,336,21,0.062,92.8,94.2,43.3,22
SCH060,武汉市第四高中,高中,武汉,一年级,11,594,40,0.067,73.6,69.1,13.5,19
SCH060,武汉市第四高中,高中,武汉,二年级,13,715,43,0.06,73.6,73.1,12.3,26
SCH060,武汉市第四高中,高中,武汉,三年级,11,440,22,0.05,88.6,93.2,32.2,21
SCH061,西安市第一小学,小学,西安,一年级,9,342,14,0.041,67.3,63.7,10.9,28
SCH061,西安市第一小学,小学,西安,二年级,10,380,18,0.047,68.3,64.5,13.5,11
SCH061,西安市第一小学,小学,西安,三年级,11,451,27,0.06,65.4,64.5,10.7,26
SCH062,西安市第二小学,小学,西安,一年级,5,245,13,0.053,80.9,80.9,29.7,5
SCH062,西安市第二小学,小学,西安,二年级,12,432,24,0.056,75.8,76.7,23.2,29
SCH062,西安市第二小学,小学,西安,三年级,6,240,14,0.058,66.1,65.0,8.3,15
SCH063,西安市第三小学,小学,西安,一年级,12,564,29,0.051,81.5,83.4,23.3,17
SCH063,西安市第三小学,小学,西安,二年级,9,396,21,0.053,66.3,65.4,9.6,28
SCH063,西安市第三小学,小学,西安,三年级,12,528,34,0.064,79.5,77.6,25.8,22
SCH064,西安市第四小学,小学,西安,一年级,7,287,13,0.045,84.9,86.8,34.1,9
SCH064,西安市第四小学,小学,西安,二年级,6,270,16,0.059,86.3,86.9,32.4,26
SCH064,西安市第四小学,小学,西安,三年级,10,440,29,0.066,75.5,70.6,14.7,17
SCH065,西安市第一中学,初中,西安,一年级,8,328,19,0.058,68.4,70.9,6.7,14
SCH065,西安市第一中学,初中,西安,二年级,16,768,34,0.044,64.0,66.8,3.0,22
SCH065,西安市第一中学,初中,西安,三年级,6,306,19,0.062,65.3,69.0,8.8,12
SCH066,西安市第二中学,初中,西安,一年级,16,832,39,0.047,87.1,90.1,30.4,26
SCH066,西安市第二中学,初中,西安,二年级,6,312,16,0.051,92.6,97.4,37.2,22
SCH066,西安市第二中学,初中,西安,三年级,6,240,14,0.058,68.5,72.2,13.8,19
SCH067,西安市第三中学,初中,西安,一年级,9,459,28,0.061,79.5,80.5,26.2,11
SCH067,西安市第三中学,初中,西安,二年级,10,540,24,0.044,83.8,80.7,25.3,21
