上映日期,电影名称,类型,上映城市,发行方,分级,排片场次,平均票价(元),观影人次,票房收入(元),观众评分,影评评分,上映天数
2024-04-24,花开花落,纪录片,武汉,万达,R,2926,51.8,32095,1662521.0,9.1,5.0,11
2024-04-27,深渊密码,悬疑,深圳,猫眼,PG,1330,35.3,24238,855601.4,7.5,8.7,27
2024-06-18,龙城风云,喜剧,重庆,中影,PG,4022,51.3,39218,2011883.4,4.9,8.8,3
2024-03-06,星际迷航,科幻,广州,万达,R,4299,27.2,38004,1033708.8,4.9,5.7,39
2024-10-15,末日危机,动作,成都,万达,PG,802,36.9,40249,1485188.1,9.8,8.9,54
2024-07-29,都市猎人,科幻,南京,光线,R,1589,59.3,33976,2014776.8,5.5,8.3,39
2024-10-29,深渊密码,爱情,杭州,华谊,R,3257,32.3,1585,51195.5,5.2,8.9,53
2024-03-17,都市猎人,喜剧,广州,华谊,G,3998,74.6,39809,2969751.4,4.2,8.5,6
2024-09-03,心灵奇旅,科幻,南京,光线,G,4517,70.5,44970,3170385.0,7.8,7.3,45
2024-09-28,无尽之旅,爱情,重庆,华谊,G,3223,44.3,49087,2174554.1,9.3,8.8,28
2024-03-09,暗夜行者,恐怖,深圳,猫眼,G,786,40.6,36133,1466999.8,6.4,5.9,37
2024-09-24,浪漫满屋,动作,杭州,博纳,PG-13,1782,62.8,21202,1331485.6,6.4,5.5,17
2024-10-01,无尽之旅,动画,南京,华谊,R,2357,79.5,26547,2110486.5,8.4,6.9,12
2024-07-08,暗影猎手,恐怖,成都,猫眼,G,2612,56.8,46735,2654548.0,6.3,5.6,48
2024-04-27,碧海蓝天,科幻,上海,猫眼,G,1856,53.0,22679,1201987.0,8.6,7.8,11
2024-07-18,末日危机,动作,上海,万达,PG-13,1290,50.9,39837,2027703.3,6.5,5.3,6
2024-11-07,笑傲江湖,纪录片,杭州,万达,R,4368,40.8,39655,1617924.0,4.3,8.5,29
2024-01-06,极速风暴,悬疑,深圳,万达,G,375,68.1,33959,2312607.9,7.0,6.0,24
2024-05-02,末日危机,动作,广州,华谊,PG,811,79.8,26677,2128824.6,6.0,6.8,34
2024-01-08,龙城风云,喜剧,上海,光线,PG,4602,40.6,37142,1507965.2,9.3,6.6,39
2024-04-09,碧海蓝天,纪录片,南京,华谊,PG-13,138,39.4,27181,1070931.4,6.9,7.5,22
2024-02-29,花开花落,悬疑,西安,万达,PG-13,4809,38.8,29517,1145259.6,9.6,7.5,50
2024-08-22,心灵奇旅,恐怖,南京,万达,PG,324,51.5,17396,895894.0,4.4,7.9,52
2024-06-10,无尽之旅,动画,西安,猫眼,PG-13,4488,25.5,17758,452829.0,5.4,5.4,5
2024-10-10,奇幻森林,恐怖,武汉,猫眼,PG,2996,37.0,38098,1409626.0,5.6,9.3,32
2024-04-12,甜蜜时光,爱情,成都,中影,G,1793,37.6,16864,634086.4,8.9,6.6,59
2024-02-10,心灵奇旅,恐怖,南京,光线,PG-13,154,67.0,35986,2411062.0,9.6,8.8,32
2024-10-21,暗夜行者,恐怖,广州,华谊,R,4287,40.4,15055,608222.0,8.4,5.6,31
2024-10-03,笑傲江湖,动画,杭州,猫眼,G,1531,50.1,8388,420238.8,8.0,7.1,1
2024-12-11,极速风暴,纪录片,南京,光线,PG,925,42.9,40659,1744271.1,9.0,5.8,18
2024-08-29,都市猎人,动画,武汉,光线,R,1606,52.4,14297,749162.8,6.4,8.4,18
2024-08-18,奇幻森林,科幻,南京,博纳,R,1972,69.8,47739,3332182.2,5.6,6.1,13
2024-03-15,龙城风云,科幻,重庆,猫眼,PG-13,179,34.7,33241,1153462.7,4.8,9.0,51
2024-09-06,阳光灿烂,悬疑,西安,光线,R,4751,27.6,6986,192813.6,8.0,5.3,54
2024-11-18,浪漫满屋,恐怖,武汉,光线,G,2228,44.9,37223,1671312.7,7.2,8.6,27
2024-03-03,云端漫步,爱情,南京,光线,PG-13,4817,60.7,35787,2172270.9,5.0,8.5,44
2024-09-18,雷霆出击,恐怖,上海,万达,PG-13,3221,58.8,30892,1816449.6,7.7,5.7,27
2024-11-19,都市猎人,纪录片,上海,猫眼,PG-13,748,33.9,15456,523958.4,5.8,7.9,39
2024-11-26,时光机器,悬疑,重庆,万达,G,3075,66.1,34640,2289704.0,9.6,6.9,9
2024-04-30,心灵奇旅,悬疑,上海,博纳,G,1825,34.2,7250,247950.0,4.6,9.2,2
2024-07-22,花开花落,喜剧,上海,光线,PG,2250,59.0,6025,355475.0,7.8,9.0,16
2024-05-25,碧海蓝天,科幻,广州,光线,R,4415,71.1,2372,168649.2,4.2,6.6,30
2024-10-03,暗夜行者,恐怖,广州,华谊,R,4517,34.7,39663,1376306.1,6.6,8.4,34
2024-11-23,末日危机,悬疑,武汉,光线,PG,4045,54.7,6369,348384.3,6.6,6.6,20
2024-01-06,星际征途,科幻,武汉,博纳,PG-13,2449,50.8,1045,53086.0,8.0,7.2,1
2024-08-08,阳光灿烂,爱情,北京,万达,PG,4590,45.6,27483,1253224.8,9.1,7.0,46
2024-11-26,时光机器,纪录片,深圳,华谊,PG-13,2254,29.4,41481,1219541.4,5.4,8.4,19
2024-11-28,龙城风云,悬疑,杭州,博纳,R,1640,71.9,12454,895442.6,4.8,5.5,18
2024-12-24,都市猎人,恐怖,深圳,中影,PG-13,2726,26.1,3752,97927.2,9.6,5.1,18
2024-03-05,风中奇缘,恐怖,北京,光线,R,2007,30.0,1465,43950.0,6.9,6.5,24
2024-08-25,风中奇缘,动作,武汉,中影,R,757,71.4,10074,719283.6,4.3,8.5,12
2024-04-08,暗夜行者,纪录片,北京,博纳,PG,1099,78.6,47337,3720688.2,5.4,8.5,48
2024-01-18,极速风暴,恐怖,上海,光线,PG-13,4369,61.6,14160,872256.0,6.7,8.1,11
2024-11-18,龙城风云,动作,西安,中影,PG,4367,31.7,32037,1015572.9,7.7,5.9,8
2024-04-30,末日危机,纪录片,武汉,万达,G,223,34.2,18594,635914.8,7.4,6.8,3
2024-10-24,风中奇缘,恐怖,南京,猫眼,PG-13,1369,45.4,6364,288925.6,5.4,7.2,60
2024-11-16,笑傲江湖,动作,武汉,华谊,PG-13,1360,63.6,7538,479416.8,4.7,6.0,52
2024-08-12,龙城风云,爱情,北京,猫眼,R,3194,44.7,9329,417006.3,5.5,5.2,36
2024-05-30,暗影猎手,恐怖,深圳,华谊,PG,4742,35.3,23284,821925.2,5.9,7.1,5
2024-09-28,迷雾追踪,恐怖,成都,博纳,PG,2257,54.8,30258,1658138.4,4.0,7.9,57
2024-01-10,都市猎人,动画,南京,博纳,PG,2056,42.6,4651,198132.6,7.8,7.4,34
2024-12-15,雷霆出击,科幻,南京,猫眼,G,2419,42.7,42502,1814835.4,5.9,5.4,3
2024-03-07,奇幻森林,动作,深圳,博纳,R,976,51.7,6971,360400.7,4.2,7.9,34
2024-11-15,风中奇缘,悬疑,北京,万达,R,3101,37.1,47544,1763882.4,4.4,9.2,60
2024-02-10,碧海蓝天,动作,武汉,中影,PG-13,4671,65.9,27759,1829318.1,8.8,8.6,34
2024-01-21,龙城风云,喜剧,成都,华谊,R,738,77.0,34544,2659888.0,4.6,8.3,13
2024-04-08,花开花落,爱情,南京,猫眼,PG-13,1565,55.7,37078,2065244.6,6.4,5.5,44
2024-08-22,风中奇缘,纪录片,上海,万达,R,1466,68.6,36542,2506781.2,6.3,6.5,60
2024-06-29,钢铁意志,动画,武汉,万达,PG,3477,67.0,28719,1924173.0,8.8,6.5,25
2024-10-08,龙城风云,悬疑,武汉,光线,G,3806,49.6,26523,1315540.8,4.0,5.2,34
2024-03-10,阳光灿烂,动作,成都,猫眼,PG-13,1917,36.8,21137,777841.6,4.1,8.7,59
2024-10-10,花开花落,科幻,上海,华谊,PG,409,50.3,10730,539719.0,4.8,6.7,15
2024-05-11,阳光灿烂,喜剧,南京,博纳,PG,3375,56.3,14749,830368.7,8.3,8.3,32
2024-12-19,风中奇缘,喜剧,南京,光线,PG-13,2560,27.1,38267,1037035.7,6.2,8.5,57
2024-08-10,无尽之旅,喜剧,深圳,中影,PG-13,193,59.9,41931,2511666.9,6.2,6.4,35
2024-10-16,迷雾追踪,动画,西安,博纳,G,1908,33.4,44647,1491209.8,8.2,6.8,15
2024-08-09,阳光灿烂,纪录片,广州,博纳,PG-13,1182,43.5,31685,1378297.5,7.3,5.2,6
2024-07-23,花开花落,纪录片,广州,万达,PG,1204,51.5,13483,694374.5,6.8,7.9,16
2024-02-06,暗夜行者,纪录片,武汉,万达,PG-13,4818,29.9,44523,1331237.7,6.4,6.6,23
2024-10-31,末日危机,动作,成都,华谊,PG,1486,79.3,40884,3242101.2,8.8,8.6,29
2024-01-23,甜蜜时光,爱情,武汉,华谊,PG,1377,66.7,6123,408404.1,4.7,5.2,56
2024-05-27,星际征途,动画,上海,万达,PG,2599,49.8,1990,99102.0,5.9,8.3,35
2024-09-24,暗夜行者,恐怖,南京,猫眼,G,1257,63.2,44295,2799444.0,4.1,7.6,17
2024-03-28,笑傲江湖,悬疑,深圳,猫眼,PG-13,2322,27.9,43410,1211139.0,9.5,5.3,43
2024-12-03,云端漫步,喜剧,北京,华谊,G,2496,72.7,43059,3130389.3,6.2,9.4,58
2024-06-10,雷霆出击,喜剧,广州,中影,PG,1729,52.5,30514,1601985.0,7.3,8.2,60
2024-09-28,阳光灿烂,动画,重庆,猫眼,PG-13,3322,65.9,1704,112293.6,6.0,6.6,16
2024-09-13,暗夜行者,动作,成都,万达,PG,3271,74.0,2431,179894.0,9.5,9.3,22
2024-07-20,心灵奇旅,科幻,上海,万达,R,3231,53.6,44933,2408408.8,7.6,7.8,16
2024-10-20,迷雾追踪,纪录片,成都,华谊,PG,2797,49.7,9135,454009.5,5.2,5.6,56
2024-03-11,阳光灿烂,科幻,杭州,华谊,G,1289,61.1,37517,2292288.7,9.3,6.4,12
2024-06-11,迷雾追踪,动作,武汉,猫眼,PG-13,3491,77.9,20380,1587602.0,6.6,9.2,10
2024-04-06,浪漫满屋,科幻,广州,华谊,PG,314,66.9,40606,2716541.4,7.6,7.7,39
2024-04-28,甜蜜时光,动作,武汉,博纳,PG-13,751,62.8,31734,1992895.2,4.8,8.8,12
2024-07-17,雷霆出击,恐怖,广州,光线,R,1441,35.6,2612,92987.2,6.4,9.4,15
2024-12-09,极速风暴,爱情,上海,光线,R,1550,76.0,29288,2225888.0,9.0,7.2,57
2024-05-06,无尽之旅,纪录片,北京,华谊,G,3216,64.6,26331,1700982.6,7.5,8.3,34
2024-02-25,碧海蓝天,恐怖,北京,博纳,G,2112,53.5,26426,1413791.0,9.7,5.2,13
2024-05-29,碧海蓝天,纪录片,成都,猫眼,PG,2442,50.4,28186,1420574.4,5.7,9.1,30
2024-11-26,碧海蓝天,喜剧,西安,万达,R,1027,34.9,38867,1356458.3,9.4,8.1,27
2024-06-14,碧海蓝天,动作,广州,中影,PG-13,3816,57.5,47203,2714172.5,9.2,9.0,21
2024-12-20,末日危机,科幻,上海,猫眼,R,847,31.3,29951,937466.3,7.7,5.4,47
2024-09-18,都市猎人,科幻,杭州,猫眼,PG,4608,45.9,11699,536984.1,9.3,7.5,11
2024-03-15,奇幻森林,动作,杭州,万达,PG,2623,42.0,29745,1249290.0,5.7,5.8,1
2024-11-14,暗夜行者,动作,重庆,博纳,PG,4176,72.0,36118,2600496.0,8.7,7.7,14
2024-10-28,心灵奇旅,恐怖,重庆,华谊,PG-13,3459,49.3,39901,1967119.3,7.5,6.1,40
2024-11-17,暗影猎手,爱情,北京,中影,PG-13,1614,33.2,43313,1437991.6,6.0,5.7,22
2024-02-14,笑傲江湖,喜剧,杭州,华谊,PG,1560,33.9,19137,648744.3,7.5,8.1,30
2024-10-23,云端漫步,动作,上海,华谊,G,2551,42.8,25334,1084295.2,8.8,8.4,19
2024-08-29,迷雾追踪,喜剧,成都,中影,G,2796,54.0,34883,1883682.0,5.2,5.9,37
2024-11-18,花开花落,喜剧,重庆,华谊,PG-13,2452,48.5,21241,1030188.5,5.5,7.6,60
2024-03-07,都市猎人,恐怖,西安,光线,PG,4177,52.1,12290,640309.0,9.1,6.0,1
2024-03-01,星际征途,恐怖,上海,华谊,PG,1798,69.0,27673,1909437.0,6.4,6.5,1
2024-11-23,极速风暴,悬疑,成都,中影,PG-13,655,41.9,33706,1412281.4,7.2,8.5,22
2024-07-21,龙城风云,动作,广州,博纳,G,1689,43.2,22647,978350.4,9.3,7.2,42
2024-03-10,雷霆出击,科幻,重庆,猫眼,G,4498,74.3,30808,2289034.4,8.5,6.9,54
2024-09-23,阳光灿烂,动画,西安,光线,G,4489,26.0,38340,996840.0,8.0,8.6,10
2024-05-23,星际征途,动画,杭州,中影,PG-13,4476,71.3,37919,2703624.7,7.5,5.8,46
2024-06-10,风中奇缘,动作,成都,光线,PG,3490,29.8,16074,479005.2,6.2,8.7,34
2024-06-03,奇幻森林,喜剧,武汉,博纳,PG,406,67.8,6568,445310.4,6.6,5.1,13
2024-06-23,雷霆出击,悬疑,武汉,猫眼,PG,1273,67.3,6939,466994.7,8.8,9.2,14
2024-01-19,碧海蓝天,纪录片,西安,中影,PG-13,1048,25.2,3385,85302.0,8.0,7.7,30
2024-01-24,浪漫满屋,悬疑,北京,万达,PG-13,4831,66.7,42367,2825878.9,9.2,6.4,18
2024-09-29,钢铁意志,恐怖,上海,华谊,G,2333,33.2,18433,611975.6,4.7,9.3,14
2024-10-04,云端漫步,动画,成都,光线,PG-13,1259,76.9,19064,1466021.6,7.3,5.8,35
2024-08-15,笑傲江湖,科幻,北京,博纳,R,3956,74.7,3806,284308.2,4.6,5.2,12
2024-12-26,都市猎人,恐怖,南京,华谊,G,3013,42.2,13485,569067.0,8.1,8.0,60
2024-08-26,星际迷航,科幻,上海,博纳,R,3936,30.3,20841,631482.3,8.0,8.2,15
2024-04-24,迷雾追踪,悬疑,武汉,光线,R,3311,35.1,44093,1547664.3,5.9,8.9,32
2024-01-16,深渊密码,恐怖,上海,华谊,PG,2979,51.3,11693,599850.9,5.6,6.6,33
2024-02-22,时光机器,喜剧,武汉,博纳,PG,4655,60.7,20299,1232149.3,7.1,6.8,40
2024-05-04,暗影猎手,科幻,重庆,博纳,PG-13,3244,28.6,14147,404604.2,8.7,7.7,35
2024-12-21,甜蜜时光,科幻,上海,华谊,G,4803,71.0,7992,567432.0,7.4,7.1,53
