门店ID,门店名称,城市,区域,商品类别,月份,销售额(万元),客流量(人次),客单价(元),好评率(%),退货率(%)
S010,广州越秀店,广州,华南,美妆,8月,275.2,8813,312.3,97.7,3.5
S011,广州番禺店,广州,华南,服装,9月,163.2,6488,251.6,96.7,11.1
S012,深圳南山店,深圳,华南,服装,10月,213.4,8719,244.7,86.5,10.1
S013,深圳福田店,深圳,华南,家居,11月,152.6,7127,214.1,94.4,5.0
S014,深圳罗湖店,深圳,华南,运动,12月,93.5,3928,238.0,87.0,4.9
S015,成都锦江店,成都,西南,美妆,1月,116.8,4038,289.2,87.3,1.0
S016,成都武侯店,成都,西南,家居,2月,169.7,5637,301.1,84.7,5.8
S017,成都青羊店,成都,西南,食品,3月,45.3,5479,82.6,83.2,3.5
S001,北京朝阳店,北京,华北,家居,4月,95.5,6451,148.0,86.2,4.2
S002,北京海淀店,北京,华北,美妆,5月,106.1,7638,138.9,91.6,1.8
S003,北京丰台店,北京,华北,电子,6月,329.0,3148,1045.1,86.1,2.6
S004,北京通州店,北京,华北,运动,7月,93.5,4211,222.0,97.8,4.7
S005,上海浦东店,上海,华东,食品,8月,75.4,11989,62.9,98.9,0.8
S006,上海徐汇店,上海,华东,服装,9月,121.5,4394,276.5,87.9,3.6
S007,上海静安店,上海,华东,服装,10月,101.0,4167,242.4,96.2,9.3
S008,上海闵行店,上海,华东,美妆,11月,353.1,10195,346.3,91.0,2.9
S009,广州天河店,广州,华南,美妆,12月,197.8,10470,188.9,98.0,1.2
S010,广州越秀店,广州,华南,食品,1月,103.4,12236,84.5,84.6,1.5
S011,广州番禺店,广州,华南,服装,2月,119.1,3616,329.4,92.8,5.4
S012,深圳南山店,深圳,华南,家居,3月,131.1,6540,200.4,82.9,4.4
S013,深圳福田店,深圳,华南,电子,4月,170.6,2000,852.9,84.2,4.9
S014,深圳罗湖店,深圳,华南,服装,5月,212.4,6334,335.3,89.3,3.1
S015,成都锦江店,成都,西南,食品,6月,85.9,9837,87.3,84.5,0.6
S016,成都武侯店,成都,西南,电子,7月,238.0,1588,1499.0,84.2,2.2
S017,成都青羊店,成都,西南,食品,8月,54.9,6470,84.9,86.2,0.9
S001,北京朝阳店,北京,华北,美妆,9月,211.0,6525,323.4,92.6,1.3
S002,北京海淀店,北京,华北,服装,10月,317.5,8669,366.2,95.8,10.9
S003,北京丰台店,北京,华北,食品,11月,73.1,14912,49.0,95.3,1.9
S004,北京通州店,北京,华北,运动,12月,212.4,7864,270.1,86.5,4.1
S005,上海浦东店,上海,华东,食品,1月,37.4,6325,59.1,90.0,1.2
S006,上海徐汇店,上海,华东,家居,2月,131.8,5492,239.9,96.8,2.5
S007,上海静安店,上海,华东,运动,3月,40.6,3313,122.5,96.7,4.9
S008,上海闵行店,上海,华东,电子,4月,308.8,2528,1221.4,93.6,4.4
S009,广州天河店,广州,华南,电子,5月,285.2,1480,1927.1,98.5,1.7
S010,广州越秀店,广州,华南,电子,6月,235.9,2789,845.9,87.9,4.1
S011,广州番禺店,广州,华南,家居,7月,171.7,5012,342.5,88.5,4.1
S012,深圳南山店,深圳,华南,电子,8月,196.9,2308,853.3,90.8,4.2
S013,深圳福田店,深圳,华南,运动,9月,142.1,5961,238.3,93.4,2.5
S014,深圳罗湖店,深圳,华南,食品,10月,110.0,12589,87.4,92.6,2.8
S015,成都锦江店,成都,西南,食品,11月,70.2,9232,76.0,87.3,1.9
S016,成都武侯店,成都,西南,家居,12月,271.2,7158,378.9,85.3,4.5
S017,成都青羊店,成都,西南,家居,1月,289.9,7816,370.9,92.5,2.9
S001,北京朝阳店,北京,华北,美妆,2月,135.3,4340,311.8,85.6,3.3
S002,北京海淀店,北京,华北,美妆,3月,156.7,5789,270.6,89.5,1.5
S003,北京丰台店,北京,华北,家居,4月,283.9,6799,417.5,94.5,4.5
S004,北京通州店,北京,华北,电子,5月,452.2,3188,1418.5,87.7,4.3
S005,上海浦东店,上海,华东,服装,6月,131.2,4123,318.2,85.4,3.2
S006,上海徐汇店,上海,华东,服装,7月,263.8,6662,396.0,95.1,7.1
S007,上海静安店,上海,华东,运动,8月,100.7,4873,206.6,88.5,2.6
S008,上海闵行店,上海,华东,服装,9月,114.1,3633,314.0,94.8,9.9
S009,广州天河店,广州,华南,食品,10月,56.7,7185,78.9,95.7,2.9
S010,广州越秀店,广州,华南,家居,11月,50.7,4219,120.1,96.4,3.6
S011,广州番禺店,广州,华南,家居,12月,382.0,10409,367.0,92.1,5.8
S012,深圳南山店,深圳,华南,家居,1月,231.7,6715,345.1,90.6,5.2
S013,深圳福田店,深圳,华南,美妆,2月,79.2,3559,222.6,96.6,2.2
S014,深圳罗湖店,深圳,华南,服装,3月,157.9,4386,360.0,95.2,7.4
S015,成都锦江店,成都,西南,服装,4月,74.0,3387,218.6,86.9,5.4
S016,成都武侯店,成都,西南,电子,5月,255.5,1365,1871.6,84.6,2.5
S017,成都青羊店,成都,西南,服装,6月,108.5,3321,326.6,88.9,7.9
S001,北京朝阳店,北京,华北,家居,7月,84.7,6780,124.9,88.6,5.0
S002,北京海淀店,北京,华北,运动,8月,46.6,5522,84.3,91.8,2.9
S003,北京丰台店,北京,华北,电子,9月,301.5,2603,1158.3,97.2,4.3
S004,北京通州店,北京,华北,美妆,10月,201.5,6904,291.9,92.3,1.5
S005,上海浦东店,上海,华东,服装,11月,154.0,7056,218.2,88.6,9.0
S006,上海徐汇店,上海,华东,家居,12月,362.5,9303,389.7,97.6,5.9
S007,上海静安店,上海,华东,美妆,1月,81.2,6436,126.2,91.6,0.9
S008,上海闵行店,上海,华东,运动,2月,85.8,4920,174.3,85.1,2.0
S009,广州天河店,广州,华南,电子,3月,208.7,1980,1054.0,94.9,2.5
S010,广州越秀店,广州,华南,家居,4月,48.4,2409,200.9,82.3,3.9
S011,广州番禺店,广州,华南,电子,5月,141.8,1326,1069.1,98.3,1.2
S012,深圳南山店,深圳,华南,食品,6月,56.0,6395,87.5,82.3,1.0
S013,深圳福田店,深圳,华南,服装,7月,105.5,3929,268.4,98.1,7.2
S014,深圳罗湖店,深圳,华南,电子,8月,258.6,1503,1720.3,92.3,4.0
S015,成都锦江店,成都,西南,食品,9月,58.2,7375,78.9,87.3,2.5
S016,成都武侯店,成都,西南,电子,10月,610.7,4096,1491.0,88.4,4.8
S017,成都青羊店,成都,西南,服装,11月,141.8,8388,169.0,92.7,3.9
S001,北京朝阳店,北京,华北,电子,12月,764.8,4201,1820.4,84.1,4.9
S002,北京海淀店,北京,华北,食品,1月,55.1,9598,57.4,88.3,2.3
S003,北京丰台店,北京,华北,电子,2月,165.8,2034,815.2,90.3,2.7
S004,北京通州店,北京,华北,电子,3月,544.8,3486,1562.7,94.0,2.7
S005,上海浦东店,上海,华东,运动,4月,89.6,4601,194.8,92.5,4.7
S006,上海徐汇店,上海,华东,家居,5月,192.7,6741,285.9,92.1,3.0
S007,上海静安店,上海,华东,服装,6月,122.8,3433,357.7,97.0,5.2
S008,上海闵行店,上海,华东,家居,7月,192.6,5875,327.9,87.7,3.7
S009,广州天河店,广州,华南,电子,8月,166.6,1636,1018.2,95.6,2.4
S010,广州越秀店,广州,华南,美妆,9月,157.2,5589,281.3,82.2,3.8
S011,广州番禺店,广州,华南,食品,10月,45.0,8629,52.1,91.4,1.3
S012,深圳南山店,深圳,华南,家居,11月,207.5,5790,358.4,95.5,1.9
S013,深圳福田店,深圳,华南,服装,12月,158.8,6324,251.1,93.3,6.3
S014,深圳罗湖店,深圳,华南,美妆,1月,161.3,6663,242.1,94.7,1.9
S015,成都锦江店,成都,西南,运动,2月,52.2,2903,179.8,85.9,3.9
S016,成都武侯店,成都,西南,电子,3月,246.0,2607,943.5,95.0,1.7
S017,成都青羊店,成都,西南,服装,4月,146.7,4382,334.7,92.0,9.8
S001,北京朝阳店,北京,华北,美妆,5月,73.4,3963,185.1,85.3,1.5
S002,北京海淀店,北京,华北,服装,6月,147.5,6540,225.6,84.2,3.4
S003,北京丰台店,北京,华北,食品,7月,73.6,10870,67.7,84.1,3.5
S004,北京通州店,北京,华北,家居,8月,29.1,2061,141.0,86.8,3.7
S005,上海浦东店,上海,华东,电子,9月,141.3,1384,1021.2,98.0,2.9
S006,上海徐汇店,上海,华东,食品,10月,36.4,6070,60.0,92.7,0.7
S007,上海静安店,上海,华东,服装,11月,355.2,10069,352.8,83.4,5.2
S008,上海闵行店,上海,华东,美妆,12月,294.5,9956,295.8,95.4,1.5
S009,广州天河店,广州,华南,美妆,1月,210.4,10141,207.5,87.1,2.7
S010,广州越秀店,广州,华南,家居,2月,102.1,4594,222.2,92.4,4.8
S011,广州番禺店,广州,华南,服装,3月,132.5,4323,306.4,83.4,5.2
S012,深圳南山店,深圳,华南,美妆,4月,41.4,3016,137.3,89.7,2.7
S013,深圳福田店,深圳,华南,电子,5月,172.0,2050,839.2,86.8,4.4
S014,深圳罗湖店,深圳,华南,食品,6月,85.3,11467,74.4,95.4,2.7
S015,成都锦江店,成都,西南,运动,7月,78.9,3070,256.9,84.0,1.9
S016,成都武侯店,成都,西南,服装,8月,269.0,7133,377.1,83.2,4.5
S017,成都青羊店,成都,西南,电子,9月,630.9,4167,1514.1,97.7,2.8
S001,北京朝阳店,北京,华北,家居,10月,227.1,6048,375.5,98.0,3.8
S002,北京海淀店,北京,华北,家居,11月,178.5,6487,275.1,97.1,4.8
S003,北京丰台店,北京,华北,美妆,12月,94.5,5321,177.6,98.4,3.5
S004,北京通州店,北京,华北,美妆,1月,95.6,3749,255.0,95.0,3.4
S005,上海浦东店,上海,华东,美妆,2月,87.7,6783,129.3,90.0,2.9
S006,上海徐汇店,上海,华东,电子,3月,280.4,2755,1017.8,92.8,3.0
S007,上海静安店,上海,华东,食品,4月,49.9,7858,63.5,87.5,0.9
S008,上海闵行店,上海,华东,服装,5月,165.4,7115,232.5,86.9,11.5
S009,广州天河店,广州,华南,美妆,6月,45.3,3528,128.4,86.3,1.2
S010,广州越秀店,广州,华南,家居,7月,300.5,6737,446.0,82.0,5.4
S011,广州番禺店,广州,华南,家居,8月,77.9,2937,265.3,88.2,4.9
S012,深圳南山店,深圳,华南,运动,9月,46.9,2647,177.2,86.5,1.5
S013,深圳福田店,深圳,华南,电子,10月,451.3,3404,1325.7,84.1,4.9
S014,深圳罗湖店,深圳,华南,美妆,11月,286.7,9436,303.8,87.3,0.8
S015,成都锦江店,成都,西南,家居,12月,143.4,10441,137.3,97.5,3.6
S016,成都武侯店,成都,西南,食品,1月,52.8,7293,72.4,97.9,1.5
S017,成都青羊店,成都,西南,运动,2月,67.4,4805,140.2,98.7,2.0
S001,北京朝阳店,北京,华北,美妆,3月,63.5,4143,153.3,92.2,3.2
S002,北京海淀店,北京,华北,服装,4月,160.3,4381,366.0,95.4,6.7
S003,北京丰台店,北京,华北,美妆,5月,60.2,3316,181.4,94.3,3.5
S004,北京通州店,北京,华北,美妆,6月,207.6,5937,349.7,84.5,2.5
S005,上海浦东店,上海,华东,电子,7月,433.6,3617,1198.9,88.4,4.7
S006,上海徐汇店,上海,华东,服装,8月,165.7,4194,395.2,88.5,10.7
S007,上海静安店,上海,华东,家居,9月,80.7,6868,117.5,94.0,5.2
S008,上海闵行店,上海,华东,家居,10月,324.9,6558,495.4,93.1,2.2
S009,广州天河店,广州,华南,食品,11月,70.8,15284,46.3,87.6,0.9
S010,广州越秀店,广州,华南,家居,12月,137.5,9828,139.9,82.3,2.1
S011,广州番禺店,广州,华南,运动,1月,80.9,2759,293.4,95.3,2.1
S012,深圳南山店,深圳,华南,美妆,2月,173.4,6209,279.3,96.5,3.5
S013,深圳福田店,深圳,华南,美妆,3月,101.6,4899,207.4,94.2,3.2
S014,深圳罗湖店,深圳,华南,美妆,4月,43.8,3410,128.3,92.7,3.7
S015,成都锦江店,成都,西南,服装,5月,191.4,5686,336.7,83.7,8.7
S016,成都武侯店,成都,西南,食品,6月,61.3,9858,62.2,97.4,0.7
S017,成都青羊店,成都,西南,食品,7月,45.9,8386,54.7,84.5,2.4
S001,北京朝阳店,北京,华北,美妆,8月,112.9,4080,276.8,85.0,2.8
S002,北京海淀店,北京,华北,家居,9月,133.7,3844,347.9,97.5,2.1
S003,北京丰台店,北京,华北,家居,10月,167.9,4727,355.2,93.3,5.5
S004,北京通州店,北京,华北,家居,11月,322.5,7004,460.5,84.7,3.5
S005,上海浦东店,上海,华东,电子,12月,565.0,2846,1985.2,98.4,3.8
S006,上海徐汇店,上海,华东,家居,1月,157.5,3595,438.1,88.5,3.7
S007,上海静安店,上海,华东,服装,2月,105.8,4315,245.3,87.0,9.3
S008,上海闵行店,上海,华东,食品,3月,85.4,9607,88.9,86.7,2.5
S009,广州天河店,广州,华南,运动,4月,148.1,5894,251.2,97.5,4.0
S010,广州越秀店,广州,华南,电子,5月,321.8,1859,1730.9,95.6,1.9
S011,广州番禺店,广州,华南,服装,6月,195.0,6388,305.2,94.3,8.9
S012,深圳南山店,深圳,华南,服装,7月,253.9,8268,307.1,93.0,5.8
S013,深圳福田店,深圳,华南,家居,8月,43.3,3824,113.3,84.2,5.6
