记录日期,农场编号,农场名称,所在省份,作物种类,种植面积(亩),产量(吨),单价(元/公斤),总收入(万元),施肥量(kg/亩),灌溉量(立方米),农药使用量(kg),土壤湿度(%),气温(℃)
2024-12-19,A002,丰收农场,河南,蔬菜,1638,2087.2,6.8,1419.3,71.7,362,3.3,38.3,13.9
2024-06-18,A004,沃土农场,黑龙江,棉花,1716,940.9,3.4,319.91,55.8,136,2.0,65.2,18.1
2024-11-27,A005,江南农场,江苏,小麦,2000,2659.2,24.7,6568.22,28.1,434,4.0,75.9,37.8
2024-12-11,A003,金穗农场,安徽,大豆,1486,1990.2,7.7,1532.45,65.7,396,2.3,37.1,27.7
2024-02-13,A007,西北农场,陕西,棉花,818,689.1,16.6,1143.91,61.7,499,2.2,77.5,19.2
2024-12-15,A001,绿源农场,山东,蔬菜,1829,2247.8,18.9,4248.34,71.0,457,2.9,40.9,22.0
2024-06-18,A004,沃土农场,黑龙江,玉米,1063,661.4,21.1,1395.55,54.0,298,4.0,74.7,31.3
2024-01-04,A001,绿源农场,山东,玉米,253,266.0,21.2,563.92,46.5,50,5.0,51.4,37.9
2024-05-03,A003,金穗农场,安徽,蔬菜,1856,2004.5,5.7,1142.57,35.0,240,3.5,62.4,11.5
2024-11-03,A005,江南农场,江苏,小麦,1536,1750.0,7.4,1295.0,20.1,294,0.9,59.7,24.5
2024-02-28,A008,云贵农场,云南,水果,69,21.4,9.9,21.19,61.6,294,0.8,49.2,30.5
2024-03-13,A002,丰收农场,河南,玉米,261,176.4,22.3,393.37,58.5,396,1.1,56.5,10.2
2024-12-05,A003,金穗农场,安徽,水果,951,686.1,6.9,473.41,57.0,276,4.4,34.3,12.8
2024-07-11,A002,丰收农场,河南,玉米,1257,1478.2,10.1,1492.98,34.9,380,0.9,57.7,26.8
2024-11-10,A005,江南农场,江苏,大豆,1645,2351.6,2.6,611.42,51.1,310,1.3,49.6,28.1
2024-11-20,A004,沃土农场,黑龙江,小麦,1063,811.1,7.5,608.33,51.7,56,4.9,76.7,13.7
2024-08-25,A007,西北农场,陕西,小麦,798,762.6,6.0,457.56,21.0,84,0.6,40.8,35.8
2024-07-14,A007,西北农场,陕西,水果,1087,699.8,18.4,1287.63,24.9,324,2.9,37.6,12.3
2024-03-18,A002,丰收农场,河南,蔬菜,1097,1541.4,24.4,3761.02,43.4,374,3.9,62.5,28.0
2024-04-02,A005,江南农场,江苏,大豆,1480,1221.0,23.9,2918.19,25.2,272,1.0,60.6,11.5
2024-01-06,A003,金穗农场,安徽,茶叶,294,92.7,5.2,48.2,77.2,317,2.8,71.1,17.3
2024-12-04,A006,岭南农场,广东,水稻,309,370.7,22.1,819.25,40.1,269,1.7,33.2,29.9
2024-08-28,A002,丰收农场,河南,玉米,1066,902.1,10.3,929.16,42.1,180,4.0,74.7,28.9
2024-01-08,A002,丰收农场,河南,水稻,517,614.7,2.1,129.09,48.3,246,4.6,38.9,36.9
2024-11-14,A001,绿源农场,山东,大豆,1182,1493.7,18.4,2748.41,39.3,263,4.6,46.0,33.1
2024-03-08,A006,岭南农场,广东,水稻,294,265.3,22.7,602.23,77.2,85,4.4,73.3,31.7
2024-06-07,A005,江南农场,江苏,棉花,720,290.6,12.5,363.25,53.8,205,3.8,42.1,20.3
2024-09-25,A008,云贵农场,云南,大豆,1632,2009.1,18.8,3777.11,29.0,259,0.6,57.1,27.8
2024-07-28,A001,绿源农场,山东,棉花,1997,1401.9,19.5,2733.7,26.2,321,4.9,51.0,36.9
2024-04-28,A003,金穗农场,安徽,水果,1507,958.1,3.0,287.43,62.1,240,2.6,67.4,26.3
2024-10-02,A003,金穗农场,安徽,水果,1355,1739.8,3.7,643.73,59.7,116,1.6,43.0,18.8
2024-08-09,A007,西北农场,陕西,大豆,1485,1927.9,9.5,1831.51,24.5,153,1.1,68.5,13.1
2024-02-18,A002,丰收农场,河南,蔬菜,386,324.0,9.2,298.08,77.9,156,2.5,53.2,33.9
2024-12-23,A002,丰收农场,河南,水稻,372,472.1,9.0,424.89,32.9,488,2.0,34.6,17.0
2024-05-27,A006,岭南农场,广东,玉米,861,788.8,17.6,1388.29,21.9,257,4.3,57.8,25.4
2024-02-01,A002,丰收农场,河南,水稻,996,420.6,20.3,853.82,69.8,163,1.1,71.2,20.4
2024-02-01,A002,丰收农场,河南,小麦,1242,1246.2,23.1,2878.72,31.9,380,2.5,36.4,35.3
2024-03-19,A006,岭南农场,广东,水果,300,105.4,12.6,132.8,69.3,252,2.7,49.1,21.9
2024-08-05,A006,岭南农场,广东,水稻,489,679.7,8.3,564.15,56.8,365,1.6,44.8,21.5
2024-07-07,A008,云贵农场,云南,大豆,174,70.5,10.8,76.14,57.8,460,2.9,31.0,20.7
2024-10-17,A006,岭南农场,广东,蔬菜,1032,983.9,13.1,1288.91,43.3,142,0.6,59.9,10.8
2024-06-25,A005,江南农场,江苏,大豆,169,214.7,12.8,274.82,78.4,101,1.6,42.1,24.9
2024-07-12,A001,绿源农场,山东,玉米,1614,2414.0,7.0,1689.8,30.6,353,1.9,66.9,20.0
2024-10-05,A001,绿源农场,山东,大豆,1490,1699.6,23.8,4045.05,70.2,464,4.5,54.6,18.7
2024-04-01,A008,云贵农场,云南,茶叶,127,51.9,7.4,38.41,20.0,364,1.4,36.5,30.1
2024-03-25,A006,岭南农场,广东,小麦,171,55.8,15.5,86.49,70.8,490,2.1,33.6,29.7
2024-03-06,A007,西北农场,陕西,水果,1250,526.5,8.9,468.58,67.5,299,3.4,38.7,37.1
2024-07-10,A006,岭南农场,广东,棉花,507,557.0,20.7,1152.99,27.6,423,0.5,65.1,26.0
2024-10-08,A001,绿源农场,山东,小麦,422,431.6,23.2,1001.31,76.2,122,2.0,33.9,19.7
2024-12-22,A006,岭南农场,广东,蔬菜,393,417.9,24.2,1011.32,46.8,185,1.4,64.7,19.8
2024-12-14,A002,丰收农场,河南,玉米,1525,459.8,10.9,501.18,73.1,302,4.5,47.6,20.5
2024-11-08,A008,云贵农场,云南,玉米,1665,2225.9,17.0,3784.03,47.1,459,4.3,44.7,18.9
2024-03-24,A002,丰收农场,河南,小麦,201,142.7,22.4,319.65,52.8,97,2.0,79.3,35.0
2024-07-06,A001,绿源农场,山东,水稻,933,1335.1,5.8,774.36,26.1,155,4.9,50.5,25.5
2024-01-13,A005,江南农场,江苏,茶叶,1402,894.2,7.5,670.65,29.2,234,0.5,34.4,33.1
2024-11-10,A008,云贵农场,云南,小麦,458,190.7,6.8,129.68,48.4,109,1.9,49.9,23.7
2024-06-13,A005,江南农场,江苏,蔬菜,236,252.6,10.9,275.33,31.2,72,1.7,53.3,16.3
2024-11-04,A005,江南农场,江苏,小麦,1205,450.6,19.3,869.66,60.1,463,2.9,78.5,26.5
2024-09-22,A001,绿源农场,山东,茶叶,1771,1354.0,14.0,1895.6,54.4,170,2.6,33.9,35.3
2024-10-22,A001,绿源农场,山东,玉米,1078,1062.3,13.9,1476.6,27.2,437,2.5,77.5,14.7
2024-02-22,A004,沃土农场,黑龙江,水果,1705,905.8,3.0,271.74,32.1,471,3.3,71.7,17.2
2024-06-28,A002,丰收农场,河南,棉花,228,174.6,11.1,193.81,51.2,497,0.6,65.0,26.5
2024-10-19,A007,西北农场,陕西,小麦,280,223.3,5.4,120.58,75.5,338,4.0,69.3,34.3
2024-08-19,A006,岭南农场,广东,茶叶,1847,1464.8,10.8,1581.98,22.2,191,2.3,60.9,29.1
2024-12-08,A007,西北农场,陕西,水稻,129,100.0,22.2,222.0,64.7,187,4.5,31.0,32.9
2024-12-22,A005,江南农场,江苏,小麦,686,436.6,13.3,580.68,78.3,166,1.1,78.7,22.4
2024-02-07,A006,岭南农场,广东,茶叶,601,705.9,15.9,1122.38,32.7,471,2.3,54.2,24.5
2024-02-10,A006,岭南农场,广东,水果,1731,636.1,20.2,1284.92,28.1,485,2.9,58.4,14.9
2024-01-12,A004,沃土农场,黑龙江,大豆,1764,651.2,2.8,182.34,36.4,471,2.6,49.8,35.8
2024-03-28,A001,绿源农场,山东,茶叶,545,407.1,15.7,639.15,55.2,229,2.0,71.9,17.2
2024-10-25,A002,丰收农场,河南,大豆,633,210.8,3.1,65.35,71.4,381,1.5,40.3,28.2
2024-01-16,A001,绿源农场,山东,玉米,1820,2250.2,19.7,4432.89,58.8,357,4.1,41.2,27.0
2024-07-13,A005,江南农场,江苏,蔬菜,1509,2203.8,16.8,3702.38,47.5,161,2.6,63.9,33.1
2024-11-27,A007,西北农场,陕西,蔬菜,1247,527.2,13.8,727.54,53.7,354,3.2,44.9,13.0
2024-05-09,A002,丰收农场,河南,棉花,738,1096.7,16.7,1831.49,31.3,314,3.9,75.0,32.6
2024-01-21,A007,西北农场,陕西,茶叶,1402,958.3,5.2,498.32,79.8,182,4.6,50.2,30.6
2024-09-21,A004,沃土农场,黑龙江,茶叶,752,881.2,7.1,625.65,74.4,393,2.1,45.0,14.8
2024-05-24,A003,金穗农场,安徽,玉米,651,271.5,4.9,133.03,76.8,221,3.4,41.1,16.3
2024-05-19,A005,江南农场,江苏,棉花,911,1134.8,9.6,1089.41,47.8,110,2.6,73.3,26.3
2024-11-13,A002,丰收农场,河南,棉花,1017,1390.6,13.5,1877.31,44.8,495,4.3,36.9,15.6
2024-03-11,A007,西北农场,陕西,玉米,1216,1667.6,24.7,4118.97,66.7,299,2.0,79.3,18.8
2024-03-19,A001,绿源农场,山东,玉米,59,49.7,6.8,33.8,49.4,440,4.0,36.5,22.1
2024-01-02,A007,西北农场,陕西,大豆,876,713.8,13.0,927.94,63.8,57,4.5,67.8,24.9
2024-04-23,A001,绿源农场,山东,蔬菜,1435,437.6,18.9,827.06,38.7,102,2.2,59.4,14.7
2024-09-20,A001,绿源农场,山东,蔬菜,660,949.2,12.5,1186.5,46.0,401,5.0,47.1,35.2
2024-07-01,A006,岭南农场,广东,大豆,1586,834.4,23.8,1985.87,33.5,117,1.5,31.1,24.1
2024-07-21,A002,丰收农场,河南,棉花,800,922.7,20.2,1863.85,66.3,369,0.7,79.7,28.5
2024-07-04,A001,绿源农场,山东,棉花,148,166.9,11.6,193.6,48.5,128,1.4,64.3,10.3
2024-10-20,A007,西北农场,陕西,玉米,1405,591.8,14.0,828.52,45.1,103,2.8,60.9,17.9
2024-05-27,A002,丰收农场,河南,大豆,1069,575.5,6.6,379.83,41.5,259,1.8,32.0,23.9
2024-01-01,A004,沃土农场,黑龙江,小麦,1459,2071.4,9.6,1988.54,74.4,477,3.1,54.7,36.6
2024-11-08,A002,丰收农场,河南,茶叶,1531,1788.7,22.8,4078.24,79.3,201,1.7,32.5,32.8
2024-06-14,A001,绿源农场,山东,小麦,1795,1164.4,20.4,2375.38,25.7,438,4.5,30.5,13.9
2024-10-09,A003,金穗农场,安徽,小麦,723,527.1,12.1,637.79,42.4,225,1.3,50.0,36.9
2024-07-21,A005,江南农场,江苏,玉米,1761,1343.4,21.6,2901.74,26.8,406,3.8,79.1,33.6
2024-10-22,A002,丰收农场,河南,茶叶,902,1256.9,13.1,1646.54,30.9,244,4.0,60.6,34.2
2024-07-15,A003,金穗农场,安徽,水稻,1039,1459.3,4.6,671.28,23.8,385,1.9,65.2,29.0
2024-12-23,A004,沃土农场,黑龙江,小麦,1421,1915.2,13.9,2662.13,46.0,422,1.6,47.3,28.9
2024-10-02,A007,西北农场,陕西,水稻,354,462.6,14.8,684.65,58.6,130,2.8,53.5,23.9
2024-06-09,A003,金穗农场,安徽,水稻,203,243.9,9.4,229.27,50.4,331,3.4,50.2,16.6
2024-08-15,A008,云贵农场,云南,蔬菜,959,1209.8,12.3,1488.05,27.1,304,3.9,30.9,21.3
2024-10-20,A001,绿源农场,山东,棉花,1191,1142.1,21.0,2398.41,73.4,337,1.4,63.6,36.6
2024-08-11,A006,岭南农场,广东,茶叶,1740,635.3,7.1,451.06,63.0,236,3.7,35.7,31.3
2024-05-18,A004,沃土农场,黑龙江,蔬菜,54,38.3,21.1,80.81,62.1,73,4.5,54.6,33.0
2024-02-28,A007,西北农场,陕西,水果,269,162.8,6.5,105.82,32.9,472,4.0,65.8,13.0
2024-10-04,A007,西北农场,陕西,茶叶,145,204.7,21.3,436.01,47.4,351,4.8,36.7,24.0
2024-08-17,A001,绿源农场,山东,玉米,1183,1682.7,21.3,3584.15,61.5,138,3.8,36.4,20.8
2024-10-23,A006,岭南农场,广东,大豆,1082,1469.0,11.6,1704.04,36.4,225,4.9,52.6,13.7
2024-05-27,A007,西北农场,陕西,蔬菜,1283,1462.6,19.2,2808.19,62.7,333,3.3,40.0,27.5
2024-12-21,A005,江南农场,江苏,玉米,1456,1040.1,17.5,1820.17,50.2,405,3.4,65.5,31.3
2024-07-22,A008,云贵农场,云南,棉花,1243,1224.1,17.3,2117.69,72.6,266,4.1,56.1,10.7
2024-03-10,A003,金穗农场,安徽,棉花,158,174.5,6.6,115.17,28.8,81,3.6,44.8,31.1
2024-11-24,A001,绿源农场,山东,大豆,784,1001.0,4.4,440.44,64.5,337,2.2,55.5,32.3
2024-07-14,A005,江南农场,江苏,蔬菜,1469,1612.1,23.3,3756.19,77.9,77,0.6,42.6,27.4
2024-12-21,A008,云贵农场,云南,蔬菜,1749,998.1,16.6,1656.85,65.3,329,3.8,39.8,30.3
2024-02-06,A004,沃土农场,黑龙江,玉米,652,546.8,24.6,1345.13,64.1,111,2.2,51.4,25.6
2024-06-15,A003,金穗农场,安徽,玉米,379,379.3,7.9,299.65,22.4,215,3.2,68.7,27.5
2024-02-26,A005,江南农场,江苏,蔬菜,1054,1315.3,14.7,1933.49,51.5,144,2.8,69.3,14.5
2024-11-11,A007,西北农场,陕西,蔬菜,238,171.2,22.3,381.78,41.6,161,4.8,60.9,23.3
2024-11-20,A001,绿源农场,山东,大豆,284,313.2,12.3,385.24,77.5,399,4.5,49.1,32.3
2024-01-17,A002,丰收农场,河南,蔬菜,840,510.6,18.7,954.82,50.9,310,2.5,32.2,35.2
2024-03-25,A004,沃土农场,黑龙江,水稻,706,647.2,23.8,1540.34,57.6,157,3.5,68.7,34.2
2024-12-24,A007,西北农场,陕西,水果,1761,747.9,14.4,1076.98,58.8,86,3.9,37.7,22.9
2024-05-18,A006,岭南农场,广东,小麦,127,51.4,3.2,16.45,54.5,166,4.6,50.4,22.6
2024-02-18,A007,西北农场,陕西,水稻,936,636.2,11.0,699.82,58.5,366,0.8,67.3,11.3
2024-11-10,A002,丰收农场,河南,小麦,782,1105.5,4.4,486.42,36.9,274,2.2,71.1,10.9
2024-09-10,A003,金穗农场,安徽,玉米,1142,643.9,19.2,1236.29,37.9,457,4.4,62.4,36.8
2024-01-01,A001,绿源农场,山东,水果,1183,1596.7,5.3,846.25,52.2,93,1.9,67.4,35.3
2024-09-05,A006,岭南农场,广东,玉米,483,384.1,16.9,649.13,31.0,365,4.3,39.7,15.1
2024-09-15,A001,绿源农场,山东,小麦,1793,2153.8,24.8,5341.42,37.4,84,1.6,39.9,26.3
2024-02-10,A006,岭南农场,广东,小麦,781,354.5,17.1,606.2,74.0,212,2.7,46.4,28.5
2024-07-06,A003,金穗农场,安徽,水稻,1208,1184.1,20.6,2439.25,38.8,452,1.5,67.0,22.2
2024-08-15,A006,岭南农场,广东,茶叶,325,362.5,9.6,348.0,41.5,206,2.7,35.4,28.1
2024-09-07,A002,丰收农场,河南,棉花,1773,1128.9,21.0,2370.69,64.0,370,0.8,33.8,10.5
2024-10-07,A001,绿源农场,山东,水稻,1714,1711.0,11.3,1933.43,53.1,328,4.5,57.0,28.3
2024-10-24,A003,金穗农场,安徽,棉花,799,616.0,22.5,1386.0,28.0,306,2.8,49.8,24.1
2024-11-06,A004,沃土农场,黑龙江,玉米,1786,2601.8,24.6,6400.43,46.8,141,3.0,58.3,34.4
2024-01-08,A003,金穗农场,安徽,茶叶,1557,1834.8,23.6,4330.13,33.9,185,2.2,32.1,15.8
2024-01-02,A006,岭南农场,广东,蔬菜,844,728.9,12.5,911.12,26.2,316,3.4,43.7,30.8
2024-11-27,A003,金穗农场,安徽,小麦,821,890.3,10.4,925.91,51.0,242,4.9,41.1,21.4
2024-01-17,A006,岭南农场,广东,玉米,1047,1310.0,22.4,2934.4,46.4,167,0.8,62.2,15.9
2024-02-22,A003,金穗农场,安徽,大豆,372,273.3,18.5,505.61,44.9,219,3.7,54.1,23.4
2024-01-08,A004,沃土农场,黑龙江,水稻,1259,621.3,21.2,1317.16,27.7,353,1.2,61.5,11.1
2024-09-13,A003,金穗农场,安徽,水稻,164,81.9,23.2,190.01,72.7,422,3.5,44.2,12.4
2024-03-08,A008,云贵农场,云南,水果,1292,1926.8,21.9,4219.69,56.1,456,3.1,68.4,27.4
2024-08-20,A005,江南农场,江苏,小麦,393,459.4,9.9,454.81,33.8,247,1.1,30.8,24.6
2024-08-20,A007,西北农场,陕西,水稻,1742,835.2,4.2,350.78,72.7,322,2.8,35.9,23.5
2024-11-21,A003,金穗农场,安徽,水果,1897,1942.8,21.0,4079.88,51.3,239,4.4,64.9,22.0
2024-12-25,A008,云贵农场,云南,小麦,1667,2037.8,10.1,2058.18,45.5,180,2.6,41.6,34.1
2024-04-01,A005,江南农场,江苏,水稻,1275,1724.0,11.4,1965.36,54.7,110,2.8,48.8,15.8
2024-11-19,A006,岭南农场,广东,棉花,887,651.7,5.6,364.95,35.7,324,2.4,48.3,17.7
2024-09-16,A007,西北农场,陕西,玉米,1596,868.9,14.7,1277.28,42.2,334,2.7,79.4,26.2
2024-02-24,A007,西北农场,陕西,大豆,1556,724.6,21.9,1586.87,46.8,408,4.8,35.0,24.2
2024-12-02,A006,岭南农场,广东,玉米,1690,1623.6,18.0,2922.48,43.3,375,0.5,34.6,14.1
2024-02-20,A007,西北农场,陕西,水稻,230,86.7,7.1,61.56,63.5,255,3.3,56.1,29.9
2024-08-15,A001,绿源农场,山东,水稻,1986,2439.5,6.0,1463.7,32.1,386,4.7,55.9,15.5
2024-04-21,A004,沃土农场,黑龙江,水稻,1309,658.9,2.8,184.49,78.5,94,5.0,69.0,19.9
2024-12-23,A007,西北农场,陕西,小麦,880,882.9,13.9,1227.23,75.2,331,1.8,71.5,35.6
2024-10-07,A006,岭南农场,广东,茶叶,761,1108.0,8.4,930.72,75.8,344,0.5,38.8,24.2
2024-09-09,A002,丰收农场,河南,棉花,1080,705.4,23.8,1678.85,61.7,243,3.0,68.5,31.2
2024-01-16,A008,云贵农场,云南,小麦,1445,1232.4,15.5,1910.22,35.5,245,3.4,79.7,29.0
2024-09-18,A004,沃土农场,黑龙江,水稻,1688,1145.9,24.0,2750.16,62.0,184,1.6,34.7,28.9
2024-06-12,A006,岭南农场,广东,大豆,205,197.9,6.1,120.72,73.7,187,1.3,67.3,36.0
2024-04-28,A004,沃土农场,黑龙江,棉花,1071,1268.6,7.4,938.76,32.4,153,4.3,71.8,20.0
2024-11-16,A002,丰收农场,河南,水稻,295,414.2,17.5,724.85,65.9,327,4.8,72.4,20.4
2024-10-28,A006,岭南农场,广东,棉花,1058,1457.7,22.3,3250.67,49.4,441,4.6,44.0,16.2
2024-09-02,A003,金穗农场,安徽,蔬菜,160,148.9,11.7,174.21,43.6,401,4.0,52.9,13.4
