监测日期,监测站点,所在区域,PM2.5(μg/m³),PM10(μg/m³),二氧化硫(mg/m³),二氧化氮(mg/m³),臭氧(μg/m³),一氧化碳(mg/m³),噪音(dB),风速(m/s),温度(℃),湿度(%),气压(hPa)
2024-06-18,北京海淀区监测站,京津冀,15.7,23.2,0.047,0.067,113.8,0.92,64.2,2.3,29.6,78,1017
2024-06-22,上海浦东监测站,长三角,35.3,64.7,0.015,0.043,62.4,1.0,33.9,3.0,25.8,98,1002
2024-06-23,深圳南山监测站,珠三角,25.9,44.8,0.012,0.069,152.8,0.47,41.3,2.3,33.8,98,1000
2024-06-24,深圳南山监测站,珠三角,34.0,63.5,0.021,0.039,175.8,0.52,56.5,1.4,36.2,76,1000
2024-06-29,成都武侯监测站,成渝地区,47.1,70.5,0.043,0.039,158.1,0.72,54.9,2.4,36.7,82,993
2024-07-04,深圳南山监测站,珠三角,30.7,57.6,0.033,0.056,159.9,0.78,64.3,3.0,34.1,97,1016
2024-07-11,深圳南山监测站,珠三角,18.8,33.4,0.003,0.035,102.6,0.59,73.2,10.9,41.0,80,1002
2024-07-12,成都武侯监测站,成渝地区,38.9,57.3,0.055,0.046,121.5,0.99,56.4,2.1,35.8,76,986
2024-07-13,成都武侯监测站,成渝地区,27.0,36.3,0.04,0.071,200.8,1.38,40.8,3.4,31.8,72,996
2024-07-16,北京朝阳区监测站,京津冀,42.2,86.9,0.062,0.099,142.4,0.55,64.6,5.9,28.4,68,1018
2024-07-20,北京海淀区监测站,京津冀,58.1,77.5,0.048,0.069,92.1,1.04,32.0,7.8,20.0,76,1015
2024-07-23,西安雁塔监测站,关中平原,43.0,63.9,0.011,0.09,167.8,1.18,56.4,1.9,31.2,58,1016
2024-07-24,上海浦东监测站,长三角,21.5,34.4,0.027,0.02,97.3,0.55,55.2,4.8,27.2,92,1004
2024-07-25,杭州西湖监测站,长三角,28.1,57.3,0.014,0.044,129.3,0.36,49.6,0.1,39.7,81,1013
2024-07-27,上海徐汇监测站,长三角,6.4,14.2,0.02,0.016,134.5,0.2,51.4,5.2,38.0,47,1007
2024-07-28,北京海淀区监测站,京津冀,39.1,61.2,0.045,0.089,139.1,0.36,57.1,3.4,26.2,80,1004
2024-07-30,西安雁塔监测站,关中平原,21.0,48.1,0.036,0.054,154.8,0.81,64.9,2.5,32.8,52,1006
2024-07-31,成都武侯监测站,成渝地区,28.9,38.2,0.052,0.05,96.8,0.4,68.0,1.7,34.1,96,1013
2024-08-01,广州天河监测站,珠三角,11.9,19.0,0.015,0.06,134.6,1.1,52.3,0.8,41.0,95,999
2024-08-02,西安雁塔监测站,关中平原,51.9,74.9,0.021,0.067,23.4,1.25,69.5,0.8,34.0,66,1005
2024-08-03,广州天河监测站,珠三角,3.0,6.1,0.007,0.02,155.4,0.56,51.0,8.8,31.4,98,1007
2024-08-04,武汉武昌监测站,华中地区,27.4,54.0,0.043,0.09,109.7,1.56,41.2,7.6,29.1,93,1018
2024-08-06,深圳南山监测站,珠三角,21.8,48.6,0.003,0.069,131.2,0.4,53.2,4.5,38.7,80,997
2024-08-07,广州天河监测站,珠三角,16.6,31.7,0.045,0.064,85.5,0.24,63.4,1.2,41.2,70,1017
2024-08-09,深圳南山监测站,珠三角,7.7,12.9,0.031,0.047,163.0,0.43,70.2,8.0,38.5,68,1001
2024-08-16,广州天河监测站,珠三角,12.9,26.6,0.043,0.034,165.7,0.2,52.7,2.5,36.7,82,1010
2024-08-18,深圳南山监测站,珠三角,17.1,38.7,0.005,0.046,146.0,0.62,48.4,5.4,38.0,98,1005
2024-08-19,深圳南山监测站,珠三角,30.3,47.6,0.029,0.014,203.2,0.88,60.8,3.5,28.3,86,1019
2024-08-23,上海浦东监测站,长三角,25.9,34.0,0.034,0.053,70.0,0.84,40.1,1.5,38.0,79,1007
2024-08-26,西安雁塔监测站,关中平原,46.5,97.3,0.018,0.063,103.6,1.23,51.7,1.2,29.6,68,1000
2024-08-28,上海浦东监测站,长三角,33.4,54.5,0.003,0.033,89.0,0.69,45.5,3.3,27.2,65,1008
2024-08-30,武汉武昌监测站,华中地区,35.2,80.5,0.018,0.07,152.8,0.77,56.3,0.2,22.1,85,1001
2024-08-31,北京朝阳区监测站,京津冀,31.0,42.3,0.07,0.068,123.6,1.42,40.2,11.6,35.0,77,994
2024-09-01,上海徐汇监测站,长三角,40.4,73.7,0.01,0.02,108.1,0.6,34.8,0.7,21.3,65,1008
2024-09-02,西安雁塔监测站,关中平原,82.8,138.8,0.064,0.056,123.4,0.37,59.6,1.3,15.4,63,1015
2024-09-05,成都武侯监测站,成渝地区,102.8,178.5,0.063,0.046,55.9,1.39,67.7,1.1,11.9,98,1014
2024-09-06,上海徐汇监测站,长三角,32.9,66.2,0.025,0.031,8.0,0.99,57.3,0.1,13.9,94,1014
2024-09-07,北京朝阳区监测站,京津冀,60.9,120.0,0.051,0.045,61.0,1.83,69.2,1.3,6.4,69,1026
2024-09-08,上海徐汇监测站,长三角,55.1,95.6,0.066,0.059,30.6,0.85,53.6,1.8,11.3,83,1013
2024-09-09,北京海淀区监测站,京津冀,24.0,53.5,0.063,0.031,17.6,1.66,62.9,12.6,5.6,39,1018
2024-09-10,成都武侯监测站,成渝地区,23.0,32.6,0.036,0.063,73.9,1.29,68.8,1.2,20.6,95,1011
2024-09-12,广州天河监测站,珠三角,39.4,62.0,0.051,0.06,102.2,0.69,56.1,6.0,28.2,46,1007
2024-09-15,北京朝阳区监测站,京津冀,51.5,107.6,0.032,0.046,49.9,0.82,51.2,0.3,7.4,51,1007
2024-09-18,深圳南山监测站,珠三角,24.4,37.7,0.066,0.054,103.8,1.22,58.8,4.1,17.1,42,1011
2024-09-21,北京海淀区监测站,京津冀,71.6,160.7,0.044,0.013,52.3,1.37,49.6,0.1,20.3,42,1018
2024-09-23,西安雁塔监测站,关中平原,59.9,82.6,0.025,0.087,56.5,0.6,49.6,3.6,17.7,38,1009
2024-09-25,广州天河监测站,珠三角,51.1,81.9,0.026,0.06,87.0,0.5,62.5,3.3,25.0,74,1003
2024-09-26,北京海淀区监测站,京津冀,74.4,145.0,0.079,0.048,49.6,1.04,52.7,3.1,9.0,95,1021
2024-09-27,西安雁塔监测站,关中平原,38.8,87.6,0.022,0.082,28.0,1.71,43.7,6.5,14.1,61,1031
2024-09-28,上海浦东监测站,长三角,44.2,85.7,0.014,0.005,77.5,0.64,50.1,1.4,15.6,73,1021
2024-09-29,西安雁塔监测站,关中平原,41.2,54.0,0.039,0.046,66.0,0.7,59.0,1.7,20.8,56,1010
2024-09-30,上海徐汇监测站,长三角,73.0,157.6,0.036,0.054,49.1,0.59,66.9,3.8,13.1,69,1013
2024-10-03,西安雁塔监测站,关中平原,64.7,130.2,0.041,0.035,68.1,1.02,57.9,1.9,20.2,56,1006
2024-10-04,西安雁塔监测站,关中平原,52.1,123.1,0.057,0.048,90.2,1.07,56.4,3.5,9.5,51,1026
2024-10-05,广州天河监测站,珠三角,72.9,96.2,0.046,0.056,35.6,0.86,56.8,3.8,17.8,88,1016
2024-10-06,武汉武昌监测站,华中地区,21.5,39.6,0.033,0.03,94.7,0.58,43.5,7.6,25.9,69,999
2024-10-09,武汉武昌监测站,华中地区,81.2,171.0,0.061,0.067,61.3,0.84,44.1,0.1,22.8,53,1006
2024-10-10,杭州西湖监测站,长三角,88.7,212.4,0.003,0.072,34.9,0.34,45.1,4.4,22.5,70,1015
2024-10-11,上海徐汇监测站,长三角,40.8,53.1,0.035,0.041,71.0,0.62,58.7,3.0,18.8,79,1014
2024-10-14,武汉武昌监测站,华中地区,51.3,110.5,0.029,0.044,88.2,0.68,43.9,1.1,13.5,73,1002
2024-10-16,北京海淀区监测站,京津冀,92.5,217.6,0.039,0.077,120.7,0.46,53.0,2.1,11.4,75,1019
2024-10-17,深圳南山监测站,珠三角,78.4,142.9,0.029,0.066,80.8,0.36,71.9,0.6,29.1,69,1011
2024-10-18,深圳南山监测站,珠三角,73.6,150.8,0.024,0.047,89.9,0.78,52.2,0.4,13.1,97,1015
2024-10-21,深圳南山监测站,珠三角,3.0,4.4,0.026,0.005,39.9,1.38,63.5,5.7,30.6,85,1016
2024-10-22,广州天河监测站,珠三角,50.6,80.4,0.003,0.044,37.9,1.2,51.4,0.6,23.0,96,996
2024-10-24,深圳南山监测站,珠三角,32.2,73.4,0.023,0.025,89.1,1.07,50.1,7.7,14.5,82,1019
2024-10-25,上海徐汇监测站,长三角,74.8,165.6,0.055,0.019,64.7,1.08,58.9,0.3,17.0,78,1010
2024-10-26,深圳南山监测站,珠三角,14.0,22.3,0.028,0.032,89.0,0.61,54.6,3.9,22.8,74,1007
2024-10-27,武汉武昌监测站,华中地区,53.5,128.4,0.023,0.032,65.9,1.6,47.5,2.1,23.7,47,1016
2024-10-29,杭州西湖监测站,长三角,54.0,96.3,0.003,0.081,79.1,0.3,52.9,1.1,13.0,87,1008
2024-10-30,成都武侯监测站,成渝地区,68.9,132.8,0.017,0.108,49.7,2.0,55.2,3.1,21.9,72,1007
2024-10-31,广州天河监测站,珠三角,72.0,167.5,0.035,0.048,88.4,0.2,52.9,1.1,20.1,60,1013
2024-11-01,杭州西湖监测站,长三角,60.0,135.4,0.029,0.005,92.6,0.72,68.6,2.6,15.9,88,1011
2024-11-02,北京朝阳区监测站,京津冀,32.0,54.8,0.043,0.041,60.6,1.03,69.2,5.5,20.6,58,1009
2024-11-03,上海徐汇监测站,长三角,50.6,117.4,0.044,0.04,16.4,0.66,48.1,4.0,14.7,60,1016
2024-11-05,武汉武昌监测站,华中地区,31.7,50.6,0.045,0.054,75.1,1.12,59.3,0.9,25.3,55,1002
2024-11-08,上海徐汇监测站,长三角,40.6,77.7,0.025,0.052,112.7,0.73,68.9,2.3,26.3,79,991
2024-11-09,北京海淀区监测站,京津冀,89.6,206.6,0.044,0.095,82.9,1.31,42.5,1.2,17.7,34,1010
2024-11-10,上海徐汇监测站,长三角,64.4,150.1,0.034,0.05,107.3,0.49,44.8,3.9,18.0,88,1026
2024-11-11,杭州西湖监测站,长三角,51.7,107.9,0.027,0.069,61.5,0.54,52.4,1.9,12.9,84,1011
2024-11-12,上海徐汇监测站,长三角,84.8,132.7,0.045,0.043,76.3,1.23,49.9,1.4,14.0,71,1001
2024-11-14,上海浦东监测站,长三角,96.6,155.8,0.006,0.041,68.1,1.07,48.5,2.8,23.4,85,1019
2024-11-15,杭州西湖监测站,长三角,11.6,16.5,0.029,0.019,70.4,1.61,56.0,5.1,24.9,63,1010
2024-11-16,成都武侯监测站,成渝地区,87.0,151.1,0.042,0.076,91.0,1.04,62.0,0.1,24.4,80,1007
2024-11-17,广州天河监测站,珠三角,16.5,25.7,0.022,0.078,102.4,0.2,45.5,0.9,29.5,70,1000
2024-11-18,北京朝阳区监测站,京津冀,75.1,99.4,0.071,0.058,31.7,1.59,56.2,1.7,14.8,52,1026
2024-11-25,深圳南山监测站,珠三角,32.8,56.6,0.066,0.065,38.2,1.12,57.9,3.6,28.7,71,1006
2024-11-26,北京海淀区监测站,京津冀,126.7,176.7,0.056,0.094,67.5,1.5,50.3,0.1,15.8,63,1009
2024-11-28,广州天河监测站,珠三角,43.2,90.8,0.054,0.051,8.0,0.86,64.9,9.2,29.2,74,1021
2024-11-29,上海徐汇监测站,长三角,54.6,114.5,0.023,0.04,64.9,1.12,63.4,2.2,13.5,71,1001
2024-11-30,广州天河监测站,珠三角,28.5,67.4,0.067,0.03,56.8,0.6,49.6,2.5,19.6,74,998
2024-12-01,上海徐汇监测站,长三角,45.9,97.5,0.05,0.036,57.2,1.31,54.6,3.6,-1.8,53,1012
2024-12-02,成都武侯监测站,成渝地区,134.1,187.4,0.066,0.047,32.6,1.72,67.6,2.0,7.0,60,1028
2024-12-03,西安雁塔监测站,关中平原,137.6,300.0,0.062,0.09,37.8,1.51,62.1,2.5,8.2,40,1016
2024-12-04,深圳南山监测站,珠三角,3.0,6.6,0.061,0.04,81.9,0.93,52.8,6.0,10.3,58,1020
2024-12-05,深圳南山监测站,珠三角,55.4,90.2,0.076,0.047,41.2,1.64,41.3,0.2,-1.6,61,1028
2024-12-07,广州天河监测站,珠三角,66.9,117.4,0.03,0.034,8.0,1.23,55.5,0.8,7.4,70,1011
2024-12-09,武汉武昌监测站,华中地区,49.7,111.6,0.038,0.049,19.1,1.55,51.9,0.8,8.3,50,995
2024-12-12,西安雁塔监测站,关中平原,268.3,408.2,0.057,0.077,25.5,1.1,55.4,0.1,2.2,63,1022
2024-12-14,深圳南山监测站,珠三角,62.7,123.0,0.064,0.005,77.0,1.09,57.4,2.8,5.4,66,1017
2024-12-15,北京海淀区监测站,京津冀,164.8,357.2,0.087,0.04,66.4,1.78,47.9,2.0,6.6,51,1022
2024-12-16,北京海淀区监测站,京津冀,110.5,195.1,0.046,0.032,66.3,1.92,61.0,1.8,-3.8,33,1031
2024-12-18,北京海淀区监测站,京津冀,216.5,318.1,0.101,0.073,61.0,1.61,50.2,0.9,5.9,57,1022
2024-12-19,西安雁塔监测站,关中平原,169.1,270.9,0.11,0.091,41.6,1.56,50.5,0.5,-2.8,56,1022
2024-12-20,上海徐汇监测站,长三角,61.3,140.9,0.089,0.012,22.7,0.2,58.4,5.1,0.2,77,1023
2024-12-21,深圳南山监测站,珠三角,76.1,131.9,0.026,0.03,95.3,0.52,47.8,10.1,3.7,67,1014
2024-12-22,广州天河监测站,珠三角,68.4,120.8,0.025,0.059,31.3,2.0,56.9,2.1,12.4,62,1015
2024-12-25,上海浦东监测站,长三角,86.5,159.9,0.061,0.023,66.1,0.96,56.7,1.7,4.9,65,1025
2024-12-26,北京海淀区监测站,京津冀,166.3,246.7,0.058,0.11,64.5,1.59,67.1,0.8,3.3,28,1001
2024-12-28,成都武侯监测站,成渝地区,111.5,244.0,0.061,0.061,23.3,1.33,58.9,2.9,-1.2,76,1019
2024-12-30,西安雁塔监测站,关中平原,96.6,172.9,0.075,0.071,55.1,1.82,53.6,7.9,6.4,24,1010
